alert_id,alert_ref,transaction_id,customer_id,merchant_id,device_id,alert_ts,rule_name,severity,risk_score,alert_status,dq_issue_count,is_valid_record,cleaned_at
40,ALT_396_1,396,4367,326,5541,2025-06-12 02:39:20.078382,merchant_chargeback_spike,medium,38.76,false_positive,0,True,2026-05-27 17:15:33.149438
41,ALT_400_1,400,2098,505,14758,2026-02-06 05:39:20.078382,merchant_chargeback_spike,high,47.46,open,3,False,2026-05-27 17:15:33.149438
43,ALT_411_1,411,5437,441,12989,2025-11-13 22:39:20.078382,cross_border_high_risk_merchant,low,90.16,false_positive,0,True,2026-05-27 17:15:33.149438
44,ALT_436_1,436,6929,1184,11366,2026-01-08 00:39:20.078382,shared_device_many_customers,medium,71.11,resolved,2,False,2026-05-27 17:15:33.149438
45,ALT_441_1,441,1378,125,6579,2025-07-31 04:39:20.078382,repeated_failed_payments,medium,83.05,under_review,0,True,2026-05-27 17:15:33.149438
46,ALT_442_1,442,3294,1083,3353,2025-07-11 23:39:20.078382,cross_border_high_risk_merchant,medium,94.58,resolved,0,True,2026-05-27 17:15:33.149438
48,ALT_453_1,453,4276,144,8965,2025-11-01 08:39:20.078382,cross_border_high_risk_merchant,high,80.11,open,3,False,2026-05-27 17:15:33.149438
49,ALT_455_1,455,4960,718,1491,2025-04-25 07:39:20.078382,shared_device_many_customers,medium,36.74,false_positive,2,False,2026-05-27 17:15:33.149438
50,ALT_466_1,466,9487,663,5031,2025-09-18 04:39:20.078382,emulator_device_usage,low,24.94,resolved,0,True,2026-05-27 17:15:33.149438
51,ALT_467_1,467,91,329,14460,2025-06-03 14:39:20.078382,cross_border_high_risk_merchant,low,45.26,under_review,0,True,2026-05-27 17:15:33.149438
52,ALT_474_1,474,2692,371,7619,2025-10-16 17:39:20.078382,cross_border_high_risk_merchant,medium,48.45,under_review,0,True,2026-05-27 17:15:33.149438
53,ALT_486_1,486,8259,351,10705,2025-11-16 17:39:20.078382,cross_border_high_risk_merchant,medium,25.91,false_positive,0,True,2026-05-27 17:15:33.149438
54,ALT_497_1,497,5346,265,11378,2025-05-28 04:39:20.078382,repeated_failed_payments,low,96.56,open,0,True,2026-05-27 17:15:33.149438
2405,ALT_23919_1,23919,6781,219,12458,2025-11-07 10:39:20.078382,emulator_device_usage,high,60.09,open,0,True,2026-05-27 17:15:33.149438
42,ALT_405_1,405,981042,221,2822,2025-12-01 08:39:20.078382,cross_border_high_risk_merchant,medium,80.84,under_review,3,False,2026-05-27 17:15:33.149438
25,ALT_236_1,236,4508,909,2982,2026-05-14 11:42:30.330496,cross_border_high_risk_merchant,high,76.16,resolved,2,False,2026-05-27 17:15:33.149438
27,ALT_240_1,240,1606,246,4882,2025-10-13 20:39:20.078382,repeated_failed_payments,low,24.05,open,0,True,2026-05-27 17:15:33.149438
56,ALT_509_1,509,8384,153,11272,2025-04-18 06:39:20.078382,shared_device_many_customers,low,22.46,resolved,2,False,2026-05-27 17:15:33.149438
57,ALT_511_1,511,4238,670,14643,2025-11-15 15:39:20.078382,cross_border_high_risk_merchant,medium,20.37,false_positive,0,True,2026-05-27 17:15:33.149438
58,ALT_520_1,520,8861,128,6001,2026-01-30 14:39:20.078382,emulator_device_usage,medium,45.44,under_review,0,True,2026-05-27 17:15:33.149438
59,ALT_522_1,522,5101,86,14917,2025-12-25 11:39:20.078382,merchant_chargeback_spike,low,21.54,resolved,0,True,2026-05-27 17:15:33.149438
60,ALT_532_1,532,5773,879,8237,2026-02-13 06:39:20.078382,emulator_device_usage,low,91.41,resolved,0,True,2026-05-27 17:15:33.149438
61,ALT_536_1,536,8516,194,7080,2026-04-05 03:39:20.078382,cross_border_high_risk_merchant,high,64.3,resolved,2,False,2026-05-27 17:15:33.149438
62,ALT_541_1,541,8224,900,976,2025-11-08 13:39:20.078382,high_chargeback_customer,medium,69.37,false_positive,0,True,2026-05-27 17:15:33.149438
63,ALT_559_1,559,2179,1192,8374,2026-04-13 18:39:20.078382,shared_device_many_customers,high,38.24,false_positive,2,False,2026-05-27 17:15:33.149438
64,ALT_566_1,566,2696,340,14708,2025-07-28 05:39:20.078382,cross_border_high_risk_merchant,medium,79.8,open,0,True,2026-05-27 17:15:33.149438
65,ALT_605_1,605,8803,1175,7914,2025-09-05 23:39:20.078382,high_chargeback_customer,low,68.52,false_positive,0,True,2026-05-27 17:15:33.149438
66,ALT_628_1,628,39,1126,3103,2025-11-09 21:39:20.078382,high_chargeback_customer,medium,25.88,resolved,0,True,2026-05-27 17:15:33.149438
67,ALT_630_1,630,6891,412,7511,2025-08-01 19:39:20.078382,high_chargeback_customer,high,36.47,false_positive,0,True,2026-05-27 17:15:33.149438
68,ALT_632_1,632,2782,854,2242,2025-12-28 02:39:20.078382,shared_device_many_customers,high,25.77,resolved,2,False,2026-05-27 17:15:33.149438
69,ALT_644_1,644,6325,756,4018,2026-02-01 02:39:20.078382,merchant_chargeback_spike,medium,72.02,false_positive,2,False,2026-05-27 17:15:33.149438
70,ALT_658_1,658,9690,922,8370,2025-05-09 03:39:20.078382,cross_border_high_risk_merchant,high,82.14,open,0,True,2026-05-27 17:15:33.149438
71,ALT_659_1,659,2788,485,8295,2026-04-11 20:39:20.078382,cross_border_high_risk_merchant,low,49.99,open,0,True,2026-05-27 17:15:33.149438
72,ALT_663_1,663,7235,295,4025,2025-06-22 06:39:20.078382,repeated_failed_payments,low,70.05,false_positive,2,False,2026-05-27 17:15:33.149438
73,ALT_664_1,664,7326,192,11748,2025-10-02 18:39:20.078382,cross_border_high_risk_merchant,low,94.8,open,3,False,2026-05-27 17:15:33.149438
74,ALT_672_1,672,8969,659,4138,2025-11-25 15:39:20.078382,cross_border_high_risk_merchant,medium,55.72,resolved,2,False,2026-05-27 17:15:33.149438
75,ALT_687_1,687,3779,592,5228,2025-05-29 15:39:20.078382,merchant_chargeback_spike,high,99.32,open,2,False,2026-05-27 17:15:33.149438
77,ALT_702_1,702,5951,691,11676,2025-05-25 10:39:20.078382,cross_border_high_risk_merchant,low,20.04,resolved,0,True,2026-05-27 17:15:33.149438
78,ALT_704_1,704,6843,342,3763,2025-06-12 18:39:20.078382,merchant_chargeback_spike,high,94.7,open,0,True,2026-05-27 17:15:33.149438
79,ALT_710_1,710,5768,997,13504,2025-12-13 04:39:20.078382,high_chargeback_customer,high,50.99,open,2,False,2026-05-27 17:15:33.149438
80,ALT_714_1,714,836,315,14606,2025-11-16 02:39:20.078382,cross_border_high_risk_merchant,low,74.15,under_review,0,True,2026-05-27 17:15:33.149438
81,ALT_719_1,719,7985,188,9057,2025-05-28 13:39:20.078382,high_chargeback_customer,high,49.61,open,0,True,2026-05-27 17:15:33.149438
82,ALT_727_1,727,6658,583,3311,2025-05-28 04:39:20.078382,cross_border_high_risk_merchant,low,43.81,resolved,0,True,2026-05-27 17:15:33.149438
83,ALT_758_1,758,4806,1063,817,2026-03-21 00:39:20.078382,emulator_device_usage,medium,76.99,under_review,2,False,2026-05-27 17:15:33.149438
84,ALT_773_1,773,7237,750,1944,2026-02-27 22:39:20.078382,cross_border_high_risk_merchant,medium,42.64,false_positive,2,False,2026-05-27 17:15:33.149438
85,ALT_777_1,777,67,271,1451,2025-12-24 11:39:20.078382,repeated_failed_payments,high,54.95,false_positive,2,False,2026-05-27 17:15:33.149438
86,ALT_778_1,778,9827,725,3796,2026-01-21 08:39:20.078382,merchant_chargeback_spike,high,81.59,open,2,False,2026-05-27 17:15:33.149438
87,ALT_780_1,780,10000,457,1537,2025-09-06 15:39:20.078382,cross_border_high_risk_merchant,low,53.49,under_review,2,False,2026-05-27 17:15:33.149438
88,ALT_792_1,792,8001,846,10402,2025-11-16 06:39:20.078382,merchant_chargeback_spike,low,49.53,resolved,0,True,2026-05-27 17:15:33.149438
89,ALT_808_1,808,7598,88,13503,2026-01-16 05:39:20.078382,shared_device_many_customers,low,24.14,resolved,2,False,2026-05-27 17:15:33.149438
90,ALT_833_1,833,9784,332,11011,2025-07-17 21:39:20.078382,emulator_device_usage,medium,83.7,open,0,True,2026-05-27 17:15:33.149438
91,ALT_835_1,835,7909,823,14768,2026-02-15 00:39:20.078382,repeated_failed_payments,high,44.04,false_positive,0,True,2026-05-27 17:15:33.149438
92,ALT_839_1,839,4975,935,9683,2025-12-23 00:39:20.078382,merchant_chargeback_spike,low,74.21,false_positive,0,True,2026-05-27 17:15:33.149438
93,ALT_840_1,840,4512,571,3214,2025-12-04 19:39:20.078382,high_chargeback_customer,high,59.74,open,2,False,2026-05-27 17:15:33.149438
95,ALT_843_1,843,480,898,3142,2025-05-12 13:39:20.078382,emulator_device_usage,high,68.8,open,0,True,2026-05-27 17:15:33.149438
96,ALT_856_1,856,6483,773,4882,2026-03-06 05:39:20.078382,merchant_chargeback_spike,high,75.95,resolved,0,True,2026-05-27 17:15:33.149438
97,ALT_863_1,863,8130,447,14088,2025-09-10 13:39:20.078382,merchant_chargeback_spike,low,98.29,resolved,0,True,2026-05-27 17:15:33.149438
98,ALT_864_1,864,2703,973,1551,2026-01-21 06:39:20.078382,shared_device_many_customers,high,92.06,under_review,0,True,2026-05-27 17:15:33.149438
99,ALT_866_1,866,7803,484,6859,2025-09-24 05:39:20.078382,repeated_failed_payments,high,63.8,open,2,False,2026-05-27 17:15:33.149438
100,ALT_915_1,915,8979,246,12288,2026-02-12 16:39:20.078382,shared_device_many_customers,medium,29.13,open,0,True,2026-05-27 17:15:33.149438
101,ALT_920_1,920,7463,299,9524,2025-12-24 06:39:20.078382,cross_border_high_risk_merchant,low,37.84,under_review,0,True,2026-05-27 17:15:33.149438
102,ALT_937_1,937,7651,150,2158,2025-07-18 14:39:20.078382,merchant_chargeback_spike,medium,24.2,false_positive,0,True,2026-05-27 17:15:33.149438
103,ALT_942_1,942,4912,251,5415,2025-08-25 18:39:20.078382,merchant_chargeback_spike,medium,81.17,open,0,True,2026-05-27 17:15:33.149438
105,ALT_977_1,977,7778,1106,14839,2025-12-15 06:39:20.078382,emulator_device_usage,low,97.51,under_review,2,False,2026-05-27 17:15:33.149438
106,ALT_996_1,996,7353,1006,11272,2026-03-23 19:39:20.078382,high_chargeback_customer,medium,68.77,under_review,2,False,2026-05-27 17:15:33.149438
107,ALT_1007_1,1007,9062,47,13063,2025-11-16 14:39:20.078382,high_chargeback_customer,low,77.74,false_positive,0,True,2026-05-27 17:15:33.149438
108,ALT_1017_1,1017,5603,821,14058,2026-04-11 14:39:20.078382,emulator_device_usage,low,45.52,resolved,2,False,2026-05-27 17:15:33.149438
109,ALT_1021_1,1021,8572,285,8858,2025-06-25 23:39:20.078382,high_chargeback_customer,medium,30.76,under_review,0,True,2026-05-27 17:15:33.149438
110,ALT_1040_1,1040,5560,454,4973,2025-11-22 14:39:20.078382,merchant_chargeback_spike,high,72.83,under_review,0,True,2026-05-27 17:15:33.149438
104,ALT_965_1,965,9621,234,10285,2026-05-09 11:42:30.330496,emulator_device_usage,medium,29.46,open,0,True,2026-05-27 17:15:33.149438
111,ALT_1055_1,1055,3906,986,10023,2025-12-15 17:39:20.078382,emulator_device_usage,medium,89.08,resolved,0,True,2026-05-27 17:15:33.149438
94,ALT_842_1,842,9118,454,6773,2026-02-08 12:39:20.078382,emulator_device_usage,high,75.69,false_positive,2,False,2026-05-27 17:15:33.149438
112,ALT_1056_1,1056,876,695,1083,2026-02-21 21:39:20.078382,repeated_failed_payments,low,64.17,open,2,False,2026-05-27 17:15:33.149438
113,ALT_1063_1,1063,6899,1151,4129,2025-11-28 15:39:20.078382,repeated_failed_payments,high,64.96,under_review,2,False,2026-05-27 17:15:33.149438
115,ALT_1066_1,1066,347,403,4,2025-07-16 12:39:20.078382,shared_device_many_customers,medium,94.72,false_positive,2,False,2026-05-27 17:15:33.149438
116,ALT_1071_1,1071,6846,314,3847,2025-06-08 05:39:20.078382,emulator_device_usage,low,98.09,open,2,False,2026-05-27 17:15:33.149438
117,ALT_1076_1,1076,8690,867,8034,2025-12-26 15:39:20.078382,emulator_device_usage,medium,87.57,false_positive,0,True,2026-05-27 17:15:33.149438
120,ALT_1112_1,1112,6301,96,2988,2025-12-17 23:39:20.078382,emulator_device_usage,medium,37.57,under_review,2,False,2026-05-27 17:15:33.149438
121,ALT_1130_1,1130,775,787,1388,2025-12-05 18:39:20.078382,shared_device_many_customers,medium,71.58,under_review,0,True,2026-05-27 17:15:33.149438
123,ALT_1136_1,1136,2283,1119,1967,2025-06-09 06:39:20.078382,emulator_device_usage,medium,71.01,open,0,True,2026-05-27 17:15:33.149438
124,ALT_1147_1,1147,6975,839,7613,2025-12-10 19:39:20.078382,merchant_chargeback_spike,low,89.95,under_review,0,True,2026-05-27 17:15:33.149438
125,ALT_1154_1,1154,4430,1128,12083,2026-02-06 01:39:20.078382,shared_device_many_customers,medium,33.32,false_positive,0,True,2026-05-27 17:15:33.149438
126,ALT_1168_1,1168,8404,1045,13205,2025-04-20 20:39:20.078382,repeated_failed_payments,high,40.92,under_review,0,True,2026-05-27 17:15:33.149438
127,ALT_1178_1,1178,2056,392,3569,2026-01-12 03:39:20.078382,emulator_device_usage,low,77.42,under_review,1,False,2026-05-27 17:15:33.149438
128,ALT_1189_1,1189,7806,719,10185,2026-01-15 21:39:20.078382,emulator_device_usage,medium,63.5,resolved,0,True,2026-05-27 17:15:33.149438
129,ALT_1211_1,1211,9769,248,9523,2025-04-29 12:39:20.078382,shared_device_many_customers,medium,76.58,open,0,True,2026-05-27 17:15:33.149438
130,ALT_1217_1,1217,6570,143,14095,2026-04-16 00:39:20.078382,high_chargeback_customer,medium,37.43,resolved,0,True,2026-05-27 17:15:33.149438
131,ALT_1219_1,1219,5996,256,14449,2026-02-13 02:39:20.078382,emulator_device_usage,low,83.79,false_positive,0,True,2026-05-27 17:15:33.149438
133,ALT_1235_1,1235,4397,350,12061,2026-03-10 13:39:20.078382,emulator_device_usage,high,23.21,open,0,True,2026-05-27 17:15:33.149438
134,ALT_1241_1,1241,1240,993,7287,2025-05-09 01:39:20.078382,shared_device_many_customers,high,86.54,under_review,0,True,2026-05-27 17:15:33.149438
135,ALT_1245_1,1245,4186,366,6729,2025-11-12 13:39:20.078382,high_chargeback_customer,medium,48.64,open,0,True,2026-05-27 17:15:33.149438
136,ALT_1254_1,1254,1844,1043,10806,2025-07-17 05:39:20.078382,high_chargeback_customer,low,99.93,under_review,0,True,2026-05-27 17:15:33.149438
137,ALT_1279_1,1279,7699,1027,13504,2025-09-10 21:39:20.078382,emulator_device_usage,low,61.66,false_positive,0,True,2026-05-27 17:15:33.149438
138,ALT_1285_1,1285,6812,782,13302,2025-11-01 00:39:20.078382,emulator_device_usage,low,90.71,open,0,True,2026-05-27 17:15:33.149438
139,ALT_1294_1,1294,1998,1008,12423,2025-05-26 12:39:20.078382,merchant_chargeback_spike,low,28.71,under_review,0,True,2026-05-27 17:15:33.149438
140,ALT_1325_1,1325,592,87,13045,2025-11-08 17:39:20.078382,merchant_chargeback_spike,high,70.31,false_positive,0,True,2026-05-27 17:15:33.149438
141,ALT_1357_1,1357,4304,309,860,2025-12-15 03:39:20.078382,cross_border_high_risk_merchant,low,28.23,resolved,0,True,2026-05-27 17:15:33.149438
142,ALT_1364_1,1364,1447,277,5869,2025-06-11 00:39:20.078382,high_chargeback_customer,low,85.99,open,2,False,2026-05-27 17:15:33.149438
143,ALT_1376_1,1376,6489,509,13539,2025-07-14 13:39:20.078382,emulator_device_usage,high,49.69,false_positive,0,True,2026-05-27 17:15:33.149438
144,ALT_1382_1,1382,7339,748,13490,2025-07-28 17:39:20.078382,cross_border_high_risk_merchant,low,21.65,open,2,False,2026-05-27 17:15:33.149438
145,ALT_1391_1,1391,1621,363,12269,2025-06-03 23:39:20.078382,shared_device_many_customers,high,60.08,open,0,True,2026-05-27 17:15:33.149438
147,ALT_1395_1,1395,6527,9,436,2025-09-18 13:39:20.078382,emulator_device_usage,medium,27.09,open,0,True,2026-05-27 17:15:33.149438
149,ALT_1428_1,1428,603,142,2996,2025-08-10 16:39:20.078382,emulator_device_usage,medium,23.18,under_review,2,False,2026-05-27 17:15:33.149438
150,ALT_1455_1,1455,8891,594,3580,2026-01-07 17:39:20.078382,emulator_device_usage,low,94.03,open,0,True,2026-05-27 17:15:33.149438
152,ALT_1474_1,1474,5062,946,8617,2025-07-15 22:39:20.078382,repeated_failed_payments,high,79.04,resolved,0,True,2026-05-27 17:15:33.149438
153,ALT_1478_1,1478,2353,345,5894,2026-03-03 17:39:20.078382,emulator_device_usage,medium,51.99,under_review,0,True,2026-05-27 17:15:33.149438
154,ALT_1479_1,1479,1908,934,595,2025-06-18 11:39:20.078382,high_chargeback_customer,low,32.17,false_positive,3,False,2026-05-27 17:15:33.149438
155,ALT_1490_1,1490,6259,483,8490,2026-01-20 21:39:20.078382,shared_device_many_customers,high,66.0,under_review,3,False,2026-05-27 17:15:33.149438
156,ALT_1498_1,1498,6944,873,9018,2025-11-04 23:39:20.078382,repeated_failed_payments,low,92.46,resolved,0,True,2026-05-27 17:15:33.149438
157,ALT_1512_1,1512,1675,1075,14432,2025-07-24 07:39:20.078382,merchant_chargeback_spike,medium,48.9,open,0,True,2026-05-27 17:15:33.149438
158,ALT_1526_1,1526,1565,373,7082,2025-05-24 09:39:20.078382,emulator_device_usage,low,63.16,resolved,0,True,2026-05-27 17:15:33.149438
159,ALT_1535_1,1535,8587,940,9130,2025-09-19 09:39:20.078382,cross_border_high_risk_merchant,medium,70.37,open,0,True,2026-05-27 17:15:33.149438
160,ALT_1548_1,1548,8686,762,1074,2025-08-14 00:39:20.078382,merchant_chargeback_spike,low,79.26,resolved,0,True,2026-05-27 17:15:33.149438
161,ALT_1561_1,1561,4043,484,883,2026-03-11 19:39:20.078382,repeated_failed_payments,low,79.69,false_positive,0,True,2026-05-27 17:15:33.149438
162,ALT_1565_1,1565,6547,556,1239,2026-04-10 23:39:20.078382,merchant_chargeback_spike,low,76.92,under_review,0,True,2026-05-27 17:15:33.149438
164,ALT_1579_1,1579,8212,571,2115,2025-10-19 05:39:20.078382,merchant_chargeback_spike,high,71.4,resolved,2,False,2026-05-27 17:15:33.149438
165,ALT_1585_1,1585,8834,692,134,2025-06-27 06:39:20.078382,shared_device_many_customers,high,89.08,open,2,False,2026-05-27 17:15:33.149438
166,ALT_1592_1,1592,191,10,7466,2025-08-26 14:39:20.078382,shared_device_many_customers,medium,79.46,false_positive,3,False,2026-05-27 17:15:33.149438
167,ALT_1594_1,1594,8296,1022,4892,2025-08-05 18:39:20.078382,shared_device_many_customers,medium,21.63,open,2,False,2026-05-27 17:15:33.149438
119,ALT_1098_1,1098,981119,765,9071,2025-10-25 23:39:20.078382,shared_device_many_customers,medium,97.5,under_review,3,False,2026-05-27 17:15:33.149438
148,ALT_1425_1,1425,9213,706,10792,2026-04-22 11:42:30.330496,merchant_chargeback_spike,high,96.75,under_review,0,True,2026-05-27 17:15:33.149438
118,ALT_1082_1,1082,6969,114,708,2025-11-12 06:39:20.078382,repeated_failed_payments,low,71.07,under_review,2,False,2026-05-27 17:15:33.149438
132,ALT_1225_1,1225,8721,1082,9580,2025-08-25 05:39:20.078382,emulator_device_usage,low,39.03,under_review,0,True,2026-05-27 17:15:33.149438
146,ALT_1392_1,1392,6252,968,7082,2025-11-05 05:39:20.078382,emulator_device_usage,high,82.85,false_positive,0,True,2026-05-27 17:15:33.149438
151,ALT_1464_1,1464,5087,818,5148,2026-04-12 12:39:20.078382,cross_border_high_risk_merchant,high,150.0,false_positive,1,False,2026-05-27 17:15:33.149438
163,ALT_1576_1,1576,5958,830,11380,2026-02-26 08:39:20.078382,emulator_device_usage,low,50.46,open,3,False,2026-05-27 17:15:33.149438
168,ALT_1596_1,1596,5336,790,8951,2025-05-27 12:39:20.078382,emulator_device_usage,high,64.81,false_positive,0,True,2026-05-27 17:15:33.149438
169,ALT_1624_1,1624,3424,3,8095,2025-11-24 03:39:20.078382,high_chargeback_customer,low,29.68,open,0,True,2026-05-27 17:15:33.149438
171,ALT_1635_1,1635,2528,1031,6705,2026-01-21 05:39:20.078382,merchant_chargeback_spike,high,94.41,under_review,0,True,2026-05-27 17:15:33.149438
172,ALT_1638_1,1638,1363,794,3018,2025-04-25 07:39:20.078382,shared_device_many_customers,low,60.37,false_positive,0,True,2026-05-27 17:15:33.149438
173,ALT_1654_1,1654,6128,689,11938,2025-11-25 05:39:20.078382,emulator_device_usage,high,34.17,open,3,False,2026-05-27 17:15:33.149438
174,ALT_1657_1,1657,4971,843,12035,2026-03-09 18:39:20.078382,emulator_device_usage,medium,53.8,under_review,0,True,2026-05-27 17:15:33.149438
175,ALT_1660_1,1660,3772,428,8305,2025-12-01 17:39:20.078382,high_chargeback_customer,high,20.4,under_review,0,True,2026-05-27 17:15:33.149438
176,ALT_1689_1,1689,3012,170,6924,2025-12-03 19:39:20.078382,high_chargeback_customer,high,38.21,false_positive,0,True,2026-05-27 17:15:33.149438
177,ALT_1692_1,1692,5009,406,11779,2025-08-05 04:39:20.078382,emulator_device_usage,medium,75.65,false_positive,0,True,2026-05-27 17:15:33.149438
179,ALT_1755_1,1755,8790,762,9723,2025-09-17 21:39:20.078382,merchant_chargeback_spike,medium,58.52,open,0,True,2026-05-27 17:15:33.149438
180,ALT_1759_1,1759,8751,598,2119,2025-05-21 17:39:20.078382,repeated_failed_payments,medium,85.72,under_review,2,False,2026-05-27 17:15:33.149438
181,ALT_1765_1,1765,3729,540,6367,2025-10-23 15:39:20.078382,merchant_chargeback_spike,medium,70.87,under_review,0,True,2026-05-27 17:15:33.149438
182,ALT_1773_1,1773,3120,801,12278,2025-10-25 23:39:20.078382,cross_border_high_risk_merchant,low,31.12,open,0,True,2026-05-27 17:15:33.149438
183,ALT_1783_1,1783,6352,1171,4989,2025-05-03 12:39:20.078382,shared_device_many_customers,low,97.78,under_review,0,True,2026-05-27 17:15:33.149438
184,ALT_1789_1,1789,2184,34,8060,2026-02-25 07:39:20.078382,shared_device_many_customers,low,69.45,false_positive,0,True,2026-05-27 17:15:33.149438
185,ALT_1798_1,1798,8930,665,4638,2025-12-09 18:39:20.078382,shared_device_many_customers,high,39.73,resolved,0,True,2026-05-27 17:15:33.149438
186,ALT_1803_1,1803,7552,941,10773,2025-05-13 19:39:20.078382,high_chargeback_customer,medium,92.56,under_review,0,True,2026-05-27 17:15:33.149438
