device_id,device_ref,customer_id,device_type,os_name,app_version,is_emulator,first_seen_at,last_seen_at,country_code,ip_country_code,dq_issue_count,is_valid_record,cleaned_at
14,DEV_14,9946,tablet,windows,v4.2,False,2024-12-22 07:31:40.479076,2026-04-03 07:31:40.479076,AU,AU,0,True,2026-05-27 16:41:43.303822
15,DEV_15,5034,tablet,ios,v2.6,False,2025-09-18 07:31:40.479076,2026-03-23 07:31:40.479076,AU,GB,1,False,2026-05-27 16:41:43.303822
16,DEV_16,8717,tablet,macos,v5.1,False,2026-04-17 07:31:40.479076,2026-03-28 07:31:40.479076,AU,GB,1,False,2026-05-27 16:41:43.303822
17,DEV_17,5780,tablet,android,v1.3,False,2025-09-21 07:31:40.479076,2026-03-27 07:31:40.479076,SG,IN,0,True,2026-05-27 16:41:43.303822
18,DEV_18,258,tablet,windows,v4.1,False,2026-01-11 07:31:40.479076,2026-04-01 07:31:40.479076,SG,GB,0,True,2026-05-27 16:41:43.303822
19,DEV_19,3706,desktop,macos,v3.0,False,2025-01-09 07:31:40.479076,2026-03-23 07:31:40.479076,IN,GB,0,True,2026-05-27 16:41:43.303822
20,DEV_20,4893,desktop,ios,v4.1,False,2026-01-23 07:31:40.479076,2026-03-29 07:31:40.479076,IN,AU,0,True,2026-05-27 16:41:43.303822
22,DEV_22,53,tablet,android,v1.7,False,2024-11-06 07:31:40.479076,2026-04-02 07:31:40.479076,GB,US,0,True,2026-05-27 16:41:43.303822
23,DEV_23,8,tablet,macos,v4.3,False,2025-05-05 07:31:40.479076,2026-03-28 07:31:40.479076,AU,SG,0,True,2026-05-27 16:41:43.303822
24,DEV_24,2488,desktop,windows,v5.0,False,2025-04-21 07:31:40.479076,2026-03-18 07:31:40.479076,US,AU,0,True,2026-05-27 16:41:43.303822
25,DEV_25,4320,desktop,windows,v3.8,False,2026-04-10 07:31:40.479076,2026-03-26 07:31:40.479076,IN,IN,1,False,2026-05-27 16:41:43.303822
26,DEV_26,1240,desktop,android,v3.9,False,2024-11-12 07:31:40.479076,2026-04-11 07:31:40.479076,GB,IN,0,True,2026-05-27 16:41:43.303822
27,DEV_27,4753,desktop,windows,v1.4,False,2024-10-06 07:31:40.479076,2026-03-20 07:31:40.479076,SG,SG,0,True,2026-05-27 16:41:43.303822
28,DEV_28,9012,tablet,android,v3.9,False,2025-09-18 07:31:40.479076,2026-03-24 07:31:40.479076,AU,SG,0,True,2026-05-27 16:41:43.303822
29,DEV_29,302,tablet,android,v3.5,False,2024-10-04 07:31:40.479076,2026-03-20 07:31:40.479076,US,AU,0,True,2026-05-27 16:41:43.303822
30,DEV_30,2169,tablet,ios,v2.5,False,2025-12-09 07:31:40.479076,2026-04-16 07:31:40.479076,IN,US,0,True,2026-05-27 16:41:43.303822
31,DEV_31,6291,mobile,android,v5.9,False,2026-03-01 07:31:40.479076,2026-03-24 07:31:40.479076,IN,GB,0,True,2026-05-27 16:41:43.303822
32,DEV_32,6851,tablet,ios,v2.4,False,2024-07-11 07:31:40.479076,2026-03-30 07:31:40.479076,GB,US,0,True,2026-05-27 16:41:43.303822
33,DEV_33,3399,desktop,android,v3.5,False,2024-08-27 07:31:40.479076,2026-03-25 07:31:40.479076,GB,SG,0,True,2026-05-27 16:41:43.303822
34,DEV_34,5585,tablet,macos,v1.7,False,2025-09-17 07:31:40.479076,2026-04-09 07:31:40.479076,SG,IN,0,True,2026-05-27 16:41:43.303822
35,DEV_35,8391,desktop,windows,v1.4,False,2025-11-21 07:31:40.479076,2026-03-26 07:31:40.479076,SG,IN,0,True,2026-05-27 16:41:43.303822
36,DEV_36,9990,mobile,macos,v1.0,False,2025-11-08 07:31:40.479076,2026-03-23 07:31:40.479076,AU,SG,0,True,2026-05-27 16:41:43.303822
37,DEV_37,3736,tablet,macos,v5.0,False,2025-08-28 07:31:40.479076,2026-04-10 07:31:40.479076,GB,AU,0,True,2026-05-27 16:41:43.303822
38,DEV_38,3594,desktop,ios,v3.7,False,2025-06-29 07:31:40.479076,2026-04-13 07:31:40.479076,SG,IN,0,True,2026-05-27 16:41:43.303822
39,DEV_39,2761,tablet,windows,v2.4,False,2026-01-16 07:31:40.479076,2026-04-01 07:31:40.479076,IN,AU,0,True,2026-05-27 16:41:43.303822
40,DEV_40,3469,tablet,ios,v4.3,False,2025-05-29 07:31:40.479076,2026-03-21 07:31:40.479076,AU,US,0,True,2026-05-27 16:41:43.303822
41,DEV_41,3705,desktop,windows,v3.4,False,2025-09-18 07:31:40.479076,2026-03-25 07:31:40.479076,IN,AU,0,True,2026-05-27 16:41:43.303822
42,DEV_42,4365,mobile,ios,v3.6,False,2025-07-10 07:31:40.479076,2026-03-25 07:31:40.479076,IN,US,0,True,2026-05-27 16:41:43.303822
43,DEV_43,172,mobile,android,v1.9,False,2025-11-27 07:31:40.479076,2026-04-01 07:31:40.479076,GB,IN,0,True,2026-05-27 16:41:43.303822
45,DEV_45,8420,tablet,android,v4.3,False,2024-09-10 07:31:40.479076,2026-03-20 07:31:40.479076,IN,IN,0,True,2026-05-27 16:41:43.303822
46,DEV_46,4170,desktop,ios,v5.7,False,2026-02-05 07:31:40.479076,2026-04-02 07:31:40.479076,AU,IN,1,False,2026-05-27 16:41:43.303822
47,DEV_47,1529,mobile,macos,v5.4,False,2025-11-17 07:31:40.479076,2026-04-14 07:31:40.479076,AU,GB,0,True,2026-05-27 16:41:43.303822
48,DEV_48,9383,tablet,macos,v3.9,False,2025-11-04 07:31:40.479076,2026-04-16 07:31:40.479076,US,US,0,True,2026-05-27 16:41:43.303822
49,DEV_49,3595,tablet,macos,v1.8,False,2025-05-05 07:31:40.479076,2026-03-25 07:31:40.479076,US,AU,1,False,2026-05-27 16:41:43.303822
51,DEV_51,4569,mobile,macos,v4.1,False,2024-07-21 07:31:40.479076,2026-04-05 07:31:40.479076,GB,AU,0,True,2026-05-27 16:41:43.303822
52,DEV_52,5946,desktop,ios,v4.4,False,2024-05-03 07:31:40.479076,2026-03-21 07:31:40.479076,AU,IN,0,True,2026-05-27 16:41:43.303822
53,DEV_53,2785,desktop,macos,v4.6,False,2025-04-07 07:31:40.479076,2026-03-21 07:31:40.479076,IN,IN,0,True,2026-05-27 16:41:43.303822
54,DEV_54,7953,desktop,android,v5.8,False,2024-12-15 07:31:40.479076,2026-03-26 07:31:40.479076,US,GB,1,False,2026-05-27 16:41:43.303822
55,DEV_55,7952,desktop,ios,v3.7,False,2026-03-30 07:31:40.479076,2026-04-12 07:31:40.479076,SG,IN,1,False,2026-05-27 16:41:43.303822
56,DEV_56,7732,mobile,windows,v2.4,False,2025-04-20 07:31:40.479076,2026-04-02 07:31:40.479076,IN,US,0,True,2026-05-27 16:41:43.303822
57,DEV_57,1661,mobile,ios,v5.7,True,2024-12-08 07:31:40.479076,2026-04-16 07:31:40.479076,US,AU,0,True,2026-05-27 16:41:43.303822
58,DEV_58,851,mobile,android,v5.5,False,2025-01-05 07:31:40.479076,2026-03-19 07:31:40.479076,US,US,1,False,2026-05-27 16:41:43.303822
59,DEV_59,2364,tablet,macos,v5.7,False,2024-06-15 07:31:40.479076,2026-04-10 07:31:40.479076,SG,SG,0,True,2026-05-27 16:41:43.303822
60,DEV_60,5675,mobile,windows,v3.3,False,2025-04-11 07:31:40.479076,2026-04-05 07:31:40.479076,US,GB,0,True,2026-05-27 16:41:43.303822
61,DEV_61,827,tablet,windows,v2.2,False,2024-07-14 07:31:40.479076,2026-04-12 07:31:40.479076,US,GB,0,True,2026-05-27 16:41:43.303822
62,DEV_62,9575,mobile,android,v1.3,False,2025-01-11 07:31:40.479076,2026-03-30 07:31:40.479076,SG,SG,0,True,2026-05-27 16:41:43.303822
63,DEV_63,2066,mobile,android,v3.2,False,2024-12-12 07:31:40.479076,2026-04-01 07:31:40.479076,AU,AU,0,True,2026-05-27 16:41:43.303822
64,DEV_64,1019,mobile,windows,v2.1,False,2025-09-30 07:31:40.479076,2026-04-07 07:31:40.479076,IN,US,0,True,2026-05-27 16:41:43.303822
65,DEV_65,4169,mobile,windows,v1.9,False,2024-10-29 07:31:40.479076,2026-03-18 07:31:40.479076,IN,GB,0,True,2026-05-27 16:41:43.303822
66,DEV_66,4960,desktop,ios,v3.0,True,2024-10-09 07:31:40.479076,2026-03-23 07:31:40.479076,AU,GB,0,True,2026-05-27 16:41:43.303822
67,DEV_67,21,mobile,macos,v1.2,False,2025-03-06 07:31:40.479076,2026-03-24 07:31:40.479076,US,US,0,True,2026-05-27 16:41:43.303822
68,DEV_68,8300,desktop,android,v2.9,False,2025-01-02 07:31:40.479076,2026-04-04 07:31:40.479076,GB,GB,0,True,2026-05-27 16:41:43.303822
69,DEV_69,3217,tablet,windows,v3.5,False,2025-12-20 07:31:40.479076,2026-04-10 07:31:40.479076,US,US,1,False,2026-05-27 16:41:43.303822
70,DEV_70,6828,mobile,macos,v1.5,False,2024-06-16 07:31:40.479076,2026-04-16 07:31:40.479076,GB,IN,1,False,2026-05-27 16:41:43.303822
71,DEV_71,5574,desktop,macos,v3.0,False,2024-12-20 07:31:40.479076,2026-04-02 07:31:40.479076,US,SG,0,True,2026-05-27 16:41:43.303822
72,DEV_72,8913,tablet,macos,v5.0,False,2025-09-10 07:31:40.479076,2026-04-14 07:31:40.479076,US,US,0,True,2026-05-27 16:41:43.303822
73,DEV_73,699,desktop,ios,v5.3,False,2024-12-28 07:31:40.479076,2026-03-30 07:31:40.479076,IN,SG,0,True,2026-05-27 16:41:43.303822
74,DEV_74,7923,desktop,ios,v4.7,False,2024-07-22 07:31:40.479076,2026-03-28 07:31:40.479076,GB,IN,0,True,2026-05-27 16:41:43.303822
75,DEV_75,4995,tablet,macos,v1.5,False,2024-05-24 07:31:40.479076,2026-04-16 07:31:40.479076,US,IN,0,True,2026-05-27 16:41:43.303822
76,DEV_76,2601,tablet,android,v5.1,True,2025-11-10 07:31:40.479076,2026-04-16 07:31:40.479076,GB,US,0,True,2026-05-27 16:41:43.303822
77,DEV_77,5238,desktop,ios,v5.5,False,2025-11-08 07:31:40.479076,2026-03-28 07:31:40.479076,AU,US,0,True,2026-05-27 16:41:43.303822
78,DEV_78,6679,tablet,android,v2.2,False,2025-01-06 07:31:40.479076,2026-04-09 07:31:40.479076,GB,US,0,True,2026-05-27 16:41:43.303822
79,DEV_79,1006,tablet,macos,v1.2,False,2025-12-28 07:31:40.479076,2026-04-04 07:31:40.479076,US,US,0,True,2026-05-27 16:41:43.303822
80,DEV_80,7796,mobile,android,v2.6,False,2025-08-23 07:31:40.479076,2026-03-20 07:31:40.479076,SG,SG,0,True,2026-05-27 16:41:43.303822
81,DEV_81,3380,mobile,android,v4.6,False,2024-10-09 07:31:40.479076,2026-04-15 07:31:40.479076,US,AU,0,True,2026-05-27 16:41:43.303822
50,DEV_50,1,desktop,android,v5.0,False,2025-03-12 07:31:40.479076,2026-03-28 07:31:40.479076,GB,SG,0,True,2026-05-27 16:41:43.303822
21,DEV_21,3765,mobile,windows,v5.0,False,2024-09-16 07:31:40.479076,2026-04-05 07:31:40.479076,GB,SG,0,True,2026-05-27 16:41:43.303822
82,DEV_82,8270,desktop,windows,v1.2,False,2026-01-30 07:31:40.479076,2026-04-07 07:31:40.479076,IN,AU,0,True,2026-05-27 16:41:43.303822
83,DEV_83,5306,tablet,android,v2.4,False,2025-12-31 07:31:40.479076,2026-03-27 07:31:40.479076,IN,GB,0,True,2026-05-27 16:41:43.303822
84,DEV_84,7182,mobile,windows,v3.5,False,2025-05-23 07:31:40.479076,2026-04-11 07:31:40.479076,AU,US,0,True,2026-05-27 16:41:43.303822
85,DEV_85,7158,mobile,windows,v4.6,False,2025-06-27 07:31:40.479076,2026-04-10 07:31:40.479076,AU,AU,0,True,2026-05-27 16:41:43.303822
86,DEV_86,4835,tablet,android,v1.3,False,2025-01-15 07:31:40.479076,2026-04-11 07:31:40.479076,IN,US,0,True,2026-05-27 16:41:43.303822
87,DEV_87,8620,desktop,ios,v2.3,False,2024-11-04 07:31:40.479076,2026-03-24 07:31:40.479076,GB,AU,0,True,2026-05-27 16:41:43.303822
88,DEV_88,6138,mobile,macos,v5.9,False,2026-03-15 07:31:40.479076,2026-03-20 07:31:40.479076,GB,GB,0,True,2026-05-27 16:41:43.303822
89,DEV_89,4459,mobile,windows,v5.7,False,2025-02-27 07:31:40.479076,2026-03-30 07:31:40.479076,GB,SG,0,True,2026-05-27 16:41:43.303822
90,DEV_90,4740,tablet,windows,v5.5,False,2026-03-14 07:31:40.479076,2026-04-07 07:31:40.479076,AU,GB,0,True,2026-05-27 16:41:43.303822
91,DEV_91,5632,tablet,android,v2.3,False,2025-03-15 07:31:40.479076,2026-03-18 07:31:40.479076,IN,IN,0,True,2026-05-27 16:41:43.303822
92,DEV_92,9092,tablet,ios,v5.7,False,2024-11-10 07:31:40.479076,2026-03-22 07:31:40.479076,IN,IN,0,True,2026-05-27 16:41:43.303822
93,DEV_93,2598,desktop,macos,v2.2,False,2025-10-30 07:31:40.479076,2026-04-05 07:31:40.479076,SG,GB,0,True,2026-05-27 16:41:43.303822
94,DEV_94,8882,mobile,android,v5.4,False,2024-05-16 07:31:40.479076,2026-04-16 07:31:40.479076,IN,AU,0,True,2026-05-27 16:41:43.303822
95,DEV_95,5457,desktop,windows,v4.9,False,2025-04-06 07:31:40.479076,2026-04-04 07:31:40.479076,AU,GB,0,True,2026-05-27 16:41:43.303822
96,DEV_96,7564,desktop,android,v2.7,False,2025-12-16 07:31:40.479076,2026-04-05 07:31:40.479076,SG,US,0,True,2026-05-27 16:41:43.303822
97,DEV_97,2422,mobile,ios,v1.2,False,2024-06-26 07:31:40.479076,2026-03-20 07:31:40.479076,US,IN,0,True,2026-05-27 16:41:43.303822
98,DEV_98,3056,mobile,windows,v4.3,False,2025-09-05 07:31:40.479076,2026-04-04 07:31:40.479076,AU,GB,0,True,2026-05-27 16:41:43.303822
100,DEV_100,1425,desktop,ios,v3.3,True,2025-09-22 07:31:40.479076,2026-04-03 07:31:40.479076,IN,US,0,True,2026-05-27 16:41:43.303822
101,DEV_101,77,mobile,android,v2.6,False,2025-11-12 07:31:40.479076,2026-04-10 07:31:40.479076,SG,IN,0,True,2026-05-27 16:41:43.303822
102,DEV_102,6094,desktop,ios,v4.1,False,2025-07-13 07:31:40.479076,2026-04-07 07:31:40.479076,IN,GB,0,True,2026-05-27 16:41:43.303822
103,DEV_103,4224,mobile,android,v2.3,False,2024-12-18 07:31:40.479076,2026-04-07 07:31:40.479076,IN,GB,0,True,2026-05-27 16:41:43.303822
104,DEV_104,1621,tablet,macos,v1.4,False,2026-02-11 07:31:40.479076,2026-03-21 07:31:40.479076,AU,IN,0,True,2026-05-27 16:41:43.303822
105,DEV_105,4276,desktop,macos,v2.5,False,2024-08-29 07:31:40.479076,2026-04-04 07:31:40.479076,AU,AU,1,False,2026-05-27 16:41:43.303822
106,DEV_106,3977,tablet,android,v1.8,False,2024-10-27 07:31:40.479076,2026-03-27 07:31:40.479076,IN,IN,0,True,2026-05-27 16:41:43.303822
107,DEV_107,9634,desktop,macos,v3.8,False,2025-06-07 07:31:40.479076,2026-04-16 07:31:40.479076,US,IN,0,True,2026-05-27 16:41:43.303822
109,DEV_109,9659,mobile,windows,v4.3,False,2024-11-30 07:31:40.479076,2026-03-18 07:31:40.479076,AU,GB,0,True,2026-05-27 16:41:43.303822
111,DEV_111,20,mobile,android,v3.7,False,2026-01-18 07:31:40.479076,2026-04-16 07:31:40.479076,AU,SG,0,True,2026-05-27 16:41:43.303822
112,DEV_112,2852,mobile,android,v3.6,False,2024-06-14 07:31:40.479076,2026-04-02 07:31:40.479076,IN,GB,0,True,2026-05-27 16:41:43.303822
114,DEV_114,638,tablet,macos,v4.7,False,2025-12-16 07:31:40.479076,2026-04-10 07:31:40.479076,AU,US,0,True,2026-05-27 16:41:43.303822
115,DEV_115,9262,tablet,android,v5.6,False,2025-04-23 07:31:40.479076,2026-04-01 07:31:40.479076,GB,GB,0,True,2026-05-27 16:41:43.303822
116,DEV_116,4851,mobile,android,v4.0,False,2025-03-24 07:31:40.479076,2026-04-06 07:31:40.479076,GB,SG,0,True,2026-05-27 16:41:43.303822
117,DEV_117,7647,desktop,android,v3.4,True,2025-03-03 07:31:40.479076,2026-04-11 07:31:40.479076,IN,US,0,True,2026-05-27 16:41:43.303822
118,DEV_118,563,desktop,macos,v2.6,False,2025-07-25 07:31:40.479076,2026-04-08 07:31:40.479076,US,IN,0,True,2026-05-27 16:41:43.303822
119,DEV_119,4700,mobile,macos,v2.7,False,2024-10-09 07:31:40.479076,2026-03-27 07:31:40.479076,GB,IN,0,True,2026-05-27 16:41:43.303822
120,DEV_120,5132,mobile,android,v1.2,False,2024-08-06 07:31:40.479076,2026-04-14 07:31:40.479076,SG,GB,0,True,2026-05-27 16:41:43.303822
121,DEV_121,7150,mobile,ios,v3.1,False,2024-12-31 07:31:40.479076,2026-04-12 07:31:40.479076,US,AU,0,True,2026-05-27 16:41:43.303822
122,DEV_122,458,desktop,macos,v3.1,False,2025-02-12 07:31:40.479076,2026-04-06 07:31:40.479076,US,AU,0,True,2026-05-27 16:41:43.303822
123,DEV_123,2174,desktop,android,v4.0,False,2025-03-01 07:31:40.479076,2026-03-31 07:31:40.479076,AU,US,0,True,2026-05-27 16:41:43.303822
124,DEV_124,7547,mobile,macos,v1.9,False,2024-04-21 07:31:40.479076,2026-03-26 07:31:40.479076,US,AU,0,True,2026-05-27 16:41:43.303822
125,DEV_125,8037,tablet,android,v1.4,False,2025-03-23 07:31:40.479076,2026-03-24 07:31:40.479076,SG,AU,0,True,2026-05-27 16:41:43.303822
126,DEV_126,2891,desktop,macos,v1.4,False,2024-10-14 07:31:40.479076,2026-03-20 07:31:40.479076,US,AU,0,True,2026-05-27 16:41:43.303822
129,DEV_129,8730,mobile,android,v4.1,False,2024-12-20 07:31:40.479076,2026-04-16 07:31:40.479076,IN,IN,0,True,2026-05-27 16:41:43.303822
130,DEV_130,7846,mobile,windows,v4.4,False,2025-06-02 07:31:40.479076,2026-03-28 07:31:40.479076,AU,SG,0,True,2026-05-27 16:41:43.303822
131,DEV_131,3778,tablet,android,v3.0,False,2025-05-06 07:31:40.479076,2026-04-01 07:31:40.479076,SG,AU,0,True,2026-05-27 16:41:43.303822
132,DEV_132,5030,desktop,android,v4.3,False,2025-07-26 07:31:40.479076,2026-04-01 07:31:40.479076,AU,AU,0,True,2026-05-27 16:41:43.303822
133,DEV_133,8505,tablet,android,v4.2,False,2024-07-14 07:31:40.479076,2026-04-02 07:31:40.479076,SG,IN,0,True,2026-05-27 16:41:43.303822
134,DEV_134,4863,mobile,ios,v2.9,False,2024-08-29 07:31:40.479076,2026-03-22 07:31:40.479076,SG,GB,0,True,2026-05-27 16:41:43.303822
135,DEV_135,9236,desktop,windows,v4.7,False,2025-03-12 07:31:40.479076,2026-03-24 07:31:40.479076,IN,US,0,True,2026-05-27 16:41:43.303822
136,DEV_136,8819,desktop,windows,v2.1,False,2024-12-03 07:31:40.479076,2026-04-03 07:31:40.479076,US,SG,0,True,2026-05-27 16:41:43.303822
138,DEV_138,5661,desktop,ios,v2.0,False,2025-11-14 07:31:40.479076,2026-03-31 07:31:40.479076,US,US,0,True,2026-05-27 16:41:43.303822
139,DEV_139,6545,desktop,windows,v5.2,False,2025-03-11 07:31:40.479076,2026-03-19 07:31:40.479076,AU,SG,1,False,2026-05-27 16:41:43.303822
140,DEV_140,5977,tablet,windows,v2.6,False,2024-08-17 07:31:40.479076,2026-04-11 07:31:40.479076,IN,AU,0,True,2026-05-27 16:41:43.303822
141,DEV_141,1639,desktop,windows,v1.1,False,2024-09-21 07:31:40.479076,2026-03-20 07:31:40.479076,SG,US,0,True,2026-05-27 16:41:43.303822
142,DEV_142,8582,tablet,windows,v5.7,False,2024-09-06 07:31:40.479076,2026-03-28 07:31:40.479076,SG,IN,0,True,2026-05-27 16:41:43.303822
143,DEV_143,1355,desktop,macos,v2.4,False,2024-06-18 07:31:40.479076,2026-03-25 07:31:40.479076,GB,GB,0,True,2026-05-27 16:41:43.303822
144,DEV_144,5755,tablet,windows,v1.8,False,2025-01-10 07:31:40.479076,2026-03-29 07:31:40.479076,GB,SG,0,True,2026-05-27 16:41:43.303822
145,DEV_145,2846,tablet,android,v1.8,False,2024-04-21 07:31:40.479076,2026-04-09 07:31:40.479076,GB,SG,0,True,2026-05-27 16:41:43.303822
146,DEV_146,5931,tablet,ios,v3.8,False,2026-03-03 07:31:40.479076,2026-04-08 07:31:40.479076,SG,GB,0,True,2026-05-27 16:41:43.303822
147,DEV_147,2102,mobile,ios,v2.1,False,2025-01-26 07:31:40.479076,2026-04-13 07:31:40.479076,AU,GB,1,False,2026-05-27 16:41:43.303822
149,DEV_149,7665,desktop,ios,v1.8,False,2024-08-18 07:31:40.479076,2026-03-28 07:31:40.479076,US,GB,0,True,2026-05-27 16:41:43.303822
153,DEV_153,7740,mobile,macos,v5.8,False,2024-09-19 07:31:40.479076,2026-04-09 07:31:40.479076,AU,IN,0,True,2026-05-27 16:41:43.303822
154,DEV_154,6196,desktop,ios,v2.7,False,2025-11-12 07:31:40.479076,2026-03-30 07:31:40.479076,IN,IN,0,True,2026-05-27 16:41:43.303822
155,DEV_155,2108,tablet,ios,v3.2,False,2024-05-16 07:31:40.479076,2026-03-28 07:31:40.479076,AU,AU,0,True,2026-05-27 16:41:43.303822
156,DEV_156,6714,mobile,windows,v3.1,False,2025-03-17 07:31:40.479076,2026-04-15 07:31:40.479076,GB,IN,0,True,2026-05-27 16:41:43.303822
157,DEV_157,3807,mobile,windows,v4.1,False,2025-04-06 07:31:40.479076,2026-03-20 07:31:40.479076,AU,AU,0,True,2026-05-27 16:41:43.303822
158,DEV_158,5230,mobile,ios,v3.0,False,2025-09-02 07:31:40.479076,2026-03-27 07:31:40.479076,GB,GB,0,True,2026-05-27 16:41:43.303822
159,DEV_159,1829,tablet,windows,v5.5,False,2025-01-22 07:31:40.479076,2026-03-22 07:31:40.479076,AU,US,1,False,2026-05-27 16:41:43.303822
160,DEV_160,5004,mobile,android,v2.4,False,2024-10-16 07:31:40.479076,2026-03-31 07:31:40.479076,GB,IN,0,True,2026-05-27 16:41:43.303822
161,DEV_161,6661,tablet,ios,v4.6,False,2025-01-01 07:31:40.479076,2026-04-14 07:31:40.479076,AU,US,0,True,2026-05-27 16:41:43.303822
162,DEV_162,7385,desktop,ios,v2.9,False,2024-06-19 07:31:40.479076,2026-03-25 07:31:40.479076,GB,AU,0,True,2026-05-27 16:41:43.303822
127,DEV_127,1425,tablet,windows,v2.0,False,2026-03-11 07:31:40.479076,2026-04-17 07:31:40.479076,US,IN,0,True,2026-05-27 16:41:43.303822
152,DEV_152,327,mobile,windows,v5.5,False,2026-02-23 07:31:40.479076,2026-04-15 07:31:40.479076,IN,IN,0,True,2026-05-27 16:41:43.303822
137,DEV_137,7502,desktop,android,,True,2026-01-21 07:31:40.479076,2026-04-09 07:31:40.479076,IN,GB,1,False,2026-05-27 16:41:43.303822
148,DEV_148,1535,tablet,macos,,False,2025-06-02 07:31:40.479076,2026-04-13 07:31:40.479076,GB,IN,1,False,2026-05-27 16:41:43.303822
108,DEV_108,1000107,desktop,macos,v4.4,False,2024-09-23 07:31:40.479076,2026-04-02 07:31:40.479076,SG,IN,1,False,2026-05-27 16:41:43.303822
128,DEV_128,1000127,desktop,ios,v5.1,False,2024-08-09 07:31:40.479076,2026-03-28 07:31:40.479076,SG,US,1,False,2026-05-27 16:41:43.303822
110,DEV_110,8281,desktop,windows,v5.4,False,2025-11-21 07:31:40.479076,2026-04-08 07:31:40.479076,AU,AU,0,True,2026-05-27 16:41:43.303822
99,DEV_99,3436,mobile,ios,v1.9,False,2025-08-09 07:31:40.479076,2026-03-20 07:31:40.479076,SG,SG,0,True,2026-05-27 16:41:43.303822
163,DEV_163,8445,desktop,windows,v3.7,False,2024-10-04 07:31:40.479076,2026-04-08 07:31:40.479076,IN,US,0,True,2026-05-27 16:41:43.303822
164,DEV_164,4809,mobile,android,v2.4,False,2026-02-23 07:31:40.479076,2026-04-02 07:31:40.479076,US,US,0,True,2026-05-27 16:41:43.303822
165,DEV_165,2098,tablet,macos,v1.0,False,2024-12-23 07:31:40.479076,2026-03-29 07:31:40.479076,IN,AU,1,False,2026-05-27 16:41:43.303822
166,DEV_166,9835,tablet,android,v3.4,False,2025-01-10 07:31:40.479076,2026-03-30 07:31:40.479076,SG,AU,0,True,2026-05-27 16:41:43.303822
167,DEV_167,4129,mobile,ios,v5.7,False,2025-03-14 07:31:40.479076,2026-03-21 07:31:40.479076,SG,GB,0,True,2026-05-27 16:41:43.303822
168,DEV_168,1940,tablet,windows,v1.1,False,2024-08-09 07:31:40.479076,2026-04-01 07:31:40.479076,IN,GB,0,True,2026-05-27 16:41:43.303822
169,DEV_169,9645,desktop,ios,v5.7,False,2025-07-10 07:31:40.479076,2026-04-10 07:31:40.479076,US,IN,0,True,2026-05-27 16:41:43.303822
170,DEV_170,9765,tablet,ios,v2.9,False,2024-07-17 07:31:40.479076,2026-03-30 07:31:40.479076,IN,AU,0,True,2026-05-27 16:41:43.303822
171,DEV_171,2719,tablet,macos,v4.5,False,2025-09-09 07:31:40.479076,2026-04-09 07:31:40.479076,GB,GB,1,False,2026-05-27 16:41:43.303822
172,DEV_172,435,mobile,ios,v3.8,False,2025-04-07 07:31:40.479076,2026-04-13 07:31:40.479076,US,US,0,True,2026-05-27 16:41:43.303822
