chargeback_id,chargeback_ref,transaction_id,customer_id,merchant_id,chargeback_date,chargeback_amount,chargeback_reason,dispute_status,resolution_date
57,CB_4155,4155,9247,112,2025-10-02,83.23,service_not_received,open,2025-09-14
58,CB_4285,4285,2846,522,2026-03-14,76.62,fraud,closed,
59,CB_4290,4290,5526,962,2026-01-28,429.21,service_not_received,closed,2026-01-29
62,CB_4345,4345,9699,749,2026-01-21,74.22,duplicate_processing,closed,
63,CB_4385,4385,9319,802,2026-01-05,88.52,service_not_received,closed,2025-12-13
64,CB_4395,4395,9496,166,2026-04-30,202.29,fraud,closed,2026-04-15
65,CB_4398,4398,8844,764,2025-06-28,476.23,authorization_issue,won,2025-06-20
68,CB_4455,4455,4201,1005,2025-10-03,26.39,service_not_received,won,2025-10-15
69,CB_4478,4478,5335,1170,2025-10-14,34.05,fraud,lost,
70,CB_4525,4525,4885,788,2026-03-06,86.67,duplicate_processing,won,2026-04-12
71,CB_4547,4547,2742,945,2026-05-20,328.66,authorization_issue,won,2026-04-13
72,CB_4548,4548,6030,863,2026-01-02,84.8,duplicate_processing,closed,2026-01-30
73,CB_4577,4577,8559,286,2025-09-17,61.22,fraud,open,2025-09-17
74,CB_4600,4600,1311,570,2026-03-26,45.65,authorization_issue,lost,2026-05-09
49,CB_3291,3291,960049,1159,2025-05-28,90.05,authorization_issue,won,2025-06-02
18,CB_1312,1312,3934,1017,2026-05-10,,fraud,lost,2026-06-07
35,CB_2561,2561,6509,417,2026-03-03,-359.23,duplicate_processing,open,2026-02-18
60,CB_4295,4295,4381,533,2025-11-04,17.78,fraud,won,2025-12-27
61,CB_4296,4296,7590,1002,2026-01-22,53.16,fraud,lost,
11,CB_1093,1093,7987,832,2026-02-15,68.23,Fraud,open,
55,CB_4006,4006,428,1097,2026-02-11,17.61,Fraud,lost,2026-04-19
30,CB_2125,2125,8479,636,2025-05-19,81.96,authorization_issue,Won,
6,CB_637,637,7738,250,2026-03-17,39.47,fraud,closed ,2026-03-22
24,CB_1729,1729,3013,644,2025-11-08,1151.32,service_not_received,closed ,
67,CB_4454,4454,377,482,2025-07-26,86.12,duplicate_processing,open,2025-07-10
75,CB_4632,4632,4258,1073,2025-07-08,11.27,fraud,won,2025-08-05
76,CB_4659,4659,2041,491,2025-11-20,351.12,service_not_received,lost,2025-11-26
78,CB_4725,4725,8121,1030,2025-08-24,86.33,duplicate_processing,closed,
79,CB_4930,4930,5602,974,2025-11-27,68.61,duplicate_processing,closed,2026-01-19
80,CB_4971,4971,9035,309,2025-06-07,90.71,service_not_received,lost,2025-06-20
81,CB_5064,5064,8599,478,2025-11-09,11.47,authorization_issue,lost,2025-12-04
82,CB_5124,5124,9917,838,2026-01-15,50.99,service_not_received,won,2025-12-22
84,CB_5324,5324,1582,198,2026-04-04,88.55,authorization_issue,closed,
85,CB_5357,5357,4602,18,2026-04-23,175.13,fraud,lost,
86,CB_5389,5389,4205,718,2025-09-30,28.71,duplicate_processing,closed,2025-09-01
88,CB_5398,5398,1811,848,2025-06-10,1565.21,duplicate_processing,won,2025-06-21
90,CB_5446,5446,4193,450,2025-12-23,73.03,duplicate_processing,closed,
91,CB_5458,5458,7108,291,2026-05-17,10.17,duplicate_processing,closed,2026-06-25
92,CB_5496,5496,4062,404,2025-05-24,71.78,authorization_issue,open,
93,CB_5498,5498,422,474,2026-02-23,312.89,service_not_received,closed,
94,CB_5521,5521,508,943,2026-02-04,19.61,duplicate_processing,lost,
95,CB_5535,5535,4582,412,2026-02-10,379.65,duplicate_processing,open,
96,CB_5601,5601,4960,1195,2025-11-01,698.1,service_not_received,closed,2025-11-13
97,CB_5761,5761,7615,77,2025-08-06,8.69,service_not_received,won,2025-06-28
98,CB_5785,5785,729,883,2026-04-22,73.15,authorization_issue,lost,2026-06-03
99,CB_5852,5852,1190,1112,2026-03-20,38.66,duplicate_processing,lost,2026-03-16
100,CB_5886,5886,5426,1047,2026-02-09,5.64,fraud,lost,2026-02-26
101,CB_5922,5922,5942,861,2026-04-02,477.95,authorization_issue,lost,
102,CB_5936,5936,3629,1063,2025-09-01,36.15,duplicate_processing,won,2025-09-17
103,CB_5945,5945,649,169,2025-09-17,420.42,authorization_issue,open,2025-10-23
104,CB_6160,6160,3376,428,2025-07-13,9.62,authorization_issue,won,2025-06-30
105,CB_6188,6188,519,1173,2025-08-31,239.78,service_not_received,closed,2025-09-08
106,CB_6336,6336,7910,321,2026-03-03,46.4,fraud,lost,
107,CB_6356,6356,6328,954,2025-05-31,372.85,fraud,open,
109,CB_6433,6433,736,339,2025-10-13,34.8,fraud,closed,2025-10-26
110,CB_6458,6458,3354,863,2026-04-02,41.8,service_not_received,lost,2026-05-12
112,CB_6547,6547,8973,1146,2026-02-08,217.29,authorization_issue,lost,2026-05-06
114,CB_6581,6581,8928,197,2026-03-11,87.88,fraud,won,2026-04-13
115,CB_6585,6585,9927,834,2025-09-14,63.5,authorization_issue,won,2025-09-23
117,CB_6620,6620,667,511,2026-03-15,74.45,fraud,open,2026-05-28
118,CB_6622,6622,1649,211,2025-10-21,72.15,fraud,closed,2025-10-11
119,CB_6670,6670,5760,1024,2026-03-08,48.76,fraud,closed,2026-03-30
120,CB_6673,6673,5766,23,2026-01-13,12.31,authorization_issue,open,2026-02-09
122,CB_6839,6839,9893,525,2026-01-25,433.05,authorization_issue,lost,
124,CB_6881,6881,1248,587,2025-09-23,5.05,duplicate_processing,closed,2025-09-13
125,CB_6957,6957,4371,193,2026-04-26,80.11,fraud,won,
127,CB_7040,7040,7592,180,2026-06-13,32.21,service_not_received,won,2026-07-20
128,CB_7064,7064,9848,787,2026-05-07,75.82,fraud,won,2026-07-08
130,CB_7178,7178,6694,1152,2025-10-26,41.14,service_not_received,closed,2025-11-03
131,CB_7207,7207,26,212,2026-01-02,1.98,fraud,lost,
132,CB_7266,7266,5913,100,2025-11-27,497.88,fraud,lost,2026-01-17
133,CB_7288,7288,4270,855,2025-12-17,34.82,service_not_received,open,2026-01-04
134,CB_7376,7376,5010,797,2025-12-15,84.01,authorization_issue,lost,2026-02-09
135,CB_7389,7389,8906,450,2026-03-21,1565.3,duplicate_processing,won,2026-04-26
137,CB_7518,7518,375,721,2025-07-08,36.93,duplicate_processing,lost,2025-09-11
139,CB_7600,7600,4256,942,2025-08-27,30.3,service_not_received,closed,2025-10-01
141,CB_7687,7687,2131,142,2025-08-01,20.52,fraud,open,2025-09-14
142,CB_7719,7719,3362,57,2025-12-08,62.4,authorization_issue,won,2026-01-19
143,CB_7744,7744,2529,724,2025-05-26,275.29,service_not_received,lost,
144,CB_7801,7801,7856,491,2025-11-13,68.98,fraud,lost,2025-10-29
146,CB_8041,8041,8583,174,2025-09-17,88.65,authorization_issue,open,
148,CB_8080,8080,9217,824,2025-08-08,55.54,authorization_issue,open,2025-08-28
113,CB_6571,6571,3458,970113,2025-12-29,19.43,duplicate_processing,lost,2026-03-06
121,CB_6826,6826,909,970121,2025-06-03,31.01,duplicate_processing,won,2025-08-30
129,CB_7143,7143,6965,970129,2025-10-27,587.33,duplicate_processing,won,2025-10-12
83,CB_5175,5175,452,19,2026-02-28,,authorization_issue,won,2026-02-07
138,CB_7546,7546,6883,1139,2025-08-04,90.53,Fraud,lost,2025-09-12
116,CB_6619,6619,5501,9,2025-08-05,73.32,service_not_received,open,2025-09-03
147,CB_8074,8074,1128,1003,2025-02-27,8.76,fraud,closed,2025-06-16
140,CB_7651,7651,2939,329,2025-05-20,,duplicate_processing,open,2025-09-11
108,CB_6388,6388,5383,199,2026-03-23,482.77,duplicate_processing ,lost,2026-02-10
87,CB_5395,5395,4846,1192,2026-02-01,28.36,duplicate_processing,lost,2026-01-20
126,CB_6969,6969,7764,752,2025-08-30,266.61,duplicate_processing,won,2025-08-13
77,CB_4704,4704,8420,667,2026-03-27,69.37,duplicate_processing,Won,2026-03-19
136,CB_7393,7393,960136,1178,2026-04-09,4.01,authorization_issue,OPEN,2026-04-02
149,CB_8179,8179,3909,503,2026-03-18,379.96,fraud,won,
150,CB_8194,8194,6013,1191,2026-04-11,23.08,authorization_issue,lost,
151,CB_8322,8322,9297,719,2026-05-06,86.45,duplicate_processing,lost,
152,CB_8324,8324,1580,656,2025-07-15,98.27,service_not_received,closed,2025-09-09
153,CB_8327,8327,5821,369,2025-11-06,313.87,authorization_issue,closed,
154,CB_8406,8406,5009,294,2025-06-17,3.82,authorization_issue,closed,2025-09-09
156,CB_8485,8485,2361,233,2025-06-14,17.67,fraud,won,
157,CB_8501,8501,846,578,2026-03-20,74.27,service_not_received,closed,
158,CB_8595,8595,7210,1131,2026-02-05,24.03,fraud,lost,
159,CB_8598,8598,3594,604,2025-07-26,70.64,authorization_issue,won,
160,CB_8616,8616,2712,840,2025-10-04,67.56,fraud,won,2025-10-05
161,CB_8708,8708,8437,780,2025-10-26,50.12,service_not_received,won,2025-10-18
163,CB_8935,8935,2390,767,2025-12-23,11.87,duplicate_processing,closed,2026-01-09
164,CB_8949,8949,5219,497,2025-10-07,57.78,fraud,lost,
165,CB_8974,8974,4010,1152,2025-12-01,67.47,service_not_received,open,
166,CB_8976,8976,2253,426,2026-04-08,13.71,duplicate_processing,open,2026-04-20
167,CB_9006,9006,5510,87,2025-11-09,64.42,authorization_issue,open,
168,CB_9012,9012,6320,620,2026-04-01,86.08,duplicate_processing,closed,2026-03-07
169,CB_9227,9227,1559,926,2026-03-27,479.27,service_not_received,closed,2026-04-14
170,CB_9369,9369,9345,740,2025-05-30,68.54,service_not_received,closed,2025-07-09
171,CB_9420,9420,1446,1131,2025-11-24,29.9,authorization_issue,open,2025-12-09
173,CB_9466,9466,7046,118,2025-08-17,90.96,service_not_received,won,2025-09-28
174,CB_9567,9567,4386,57,2025-08-18,19.91,duplicate_processing,closed,2025-08-28
175,CB_9568,9568,7760,409,2026-04-17,58.36,fraud,closed,2026-07-08
176,CB_9640,9640,1408,39,2026-05-06,438.62,fraud,open,2026-05-11
177,CB_9648,9648,6668,496,2026-05-26,53.93,authorization_issue,open,2026-05-29
178,CB_9658,9658,7836,368,2025-11-03,27.85,service_not_received,won,2025-10-01
179,CB_9706,9706,7948,55,2025-10-27,25.02,fraud,lost,2025-11-12
182,CB_9869,9869,9071,704,2025-06-07,418.12,service_not_received,closed,
183,CB_9882,9882,8164,881,2025-09-14,69.82,service_not_received,lost,
184,CB_9920,9920,5025,976,2026-03-27,51.91,fraud,won,2026-03-26
185,CB_10003,10003,8426,1057,2026-01-18,1.89,duplicate_processing,lost,
186,CB_10129,10129,4911,603,2025-07-03,329.38,fraud,closed,2025-08-05
187,CB_10150,10150,8327,459,2025-10-31,10.45,fraud,won,2025-11-02
188,CB_10207,10207,4537,751,2026-02-21,44.4,fraud,lost,2026-03-22
190,CB_10461,10461,3813,109,2025-05-24,273.96,duplicate_processing,open,2025-07-04
191,CB_10481,10481,325,1059,2025-09-01,23.93,authorization_issue,lost,
193,CB_10574,10574,5013,1061,2025-06-30,35.92,fraud,won,2025-06-17
194,CB_10716,10716,8449,220,2025-11-24,5.67,authorization_issue,won,
195,CB_10735,10735,1129,170,2025-07-21,13.2,service_not_received,open,2025-09-11
196,CB_10776,10776,1640,204,2026-01-26,492.13,authorization_issue,closed,
197,CB_10852,10852,7070,535,2025-09-30,50.83,authorization_issue,won,
199,CB_10977,10977,1360,234,2025-11-23,420.32,duplicate_processing,closed,2026-01-24
200,CB_11016,11016,2641,522,2026-04-18,442.74,fraud,won,2026-04-21
201,CB_11023,11023,4952,8,2026-05-03,17.42,fraud,closed,2026-04-15
203,CB_11170,11170,2465,748,2026-04-14,22.21,service_not_received,closed,
204,CB_11314,11314,7778,220,2025-06-22,10.67,service_not_received,closed,
205,CB_11404,11404,2573,666,2025-05-29,8.44,service_not_received,lost,2025-05-30
206,CB_11739,11739,6538,998,2026-05-03,264.42,authorization_issue,won,2026-04-09
208,CB_11771,11771,5717,993,2026-05-04,31.14,duplicate_processing,open,2026-05-28
209,CB_11828,11828,9854,356,2025-07-27,51.76,authorization_issue,open,
210,CB_11852,11852,5494,1134,2026-04-10,9.47,authorization_issue,won,
211,CB_11949,11949,1836,747,2025-07-13,83.05,authorization_issue,lost,2025-07-10
212,CB_11994,11994,6259,15,2026-01-24,35.3,duplicate_processing,open,2025-12-30
214,CB_12346,12346,152,531,2025-09-23,57.76,service_not_received,closed,2025-10-11
215,CB_12419,12419,7916,980,2025-11-10,73.1,fraud,won,2025-12-18
216,CB_12452,12452,2723,319,2025-10-24,455.12,service_not_received,won,2025-10-18
217,CB_12485,12485,6172,518,2026-01-20,99.77,authorization_issue,lost,2026-01-01
218,CB_12488,12488,5037,578,2026-03-26,53.56,authorization_issue,open,2026-03-13
219,CB_12617,12617,2579,1115,2025-11-04,108.0,duplicate_processing,closed,2025-11-08
213,CB_12216,12216,3670,970213,2026-04-01,451.86,service_not_received,open,
155,CB_8456,8456,9779,270,2025-09-11,81.27,duplicate_processing,lost,2025-10-21
172,CB_9463,9463,1671,794,2025-11-12,15.6,duplicate_processing,open,
202,CB_11087,11087,8561,681,2025-12-09,448.22,duplicate_processing,closed,2026-03-18
189,CB_10296,10296,7003,1022,2025-10-13,192.07,Fraud,open,2025-11-06
180,CB_9739,9739,8330,182,2025-08-29,39.0,duplicate_processing ,lost,2025-10-05
198,CB_10877,10877,2809,533,2026-04-02,466.43,authorization_issue,OPEN,2026-03-01
207,CB_11757,11757,4891,323,2025-12-25,17.89,fraud,won,2025-12-17
220,CB_12707,12707,9846,698,2026-02-10,1936.42,authorization_issue,lost,2026-03-13
221,CB_12826,12826,3770,612,2025-06-29,26.42,fraud,closed,2025-07-02
222,CB_12870,12870,8711,1048,2025-06-18,39.46,duplicate_processing,closed,2025-07-25
223,CB_13208,13208,6063,505,2025-05-30,49.55,fraud,won,2025-07-16
224,CB_13242,13242,1210,5,2025-11-14,403.1,authorization_issue,closed,2025-12-05
225,CB_13295,13295,7543,1092,2025-11-27,54.42,authorization_issue,lost,2026-01-01
226,CB_13387,13387,7400,729,2025-11-04,286.56,service_not_received,lost,2025-11-02
227,CB_13523,13523,8727,951,2026-02-27,82.73,authorization_issue,open,2026-04-05
229,CB_13605,13605,7338,391,2026-02-15,35.03,duplicate_processing,won,
234,CB_13804,13804,6983,607,2025-07-27,411.43,service_not_received,lost,2025-08-18
235,CB_13816,13816,269,1168,2025-05-19,3.95,duplicate_processing,open,2025-06-16
236,CB_13863,13863,6031,856,2025-09-21,92.25,fraud,lost,2025-08-31
237,CB_13887,13887,4011,1104,2026-03-21,62.97,fraud,won,
238,CB_13895,13895,264,236,2026-01-19,489.24,duplicate_processing,open,2025-12-26
239,CB_14146,14146,5341,967,2025-07-03,94.58,duplicate_processing,won,
240,CB_14158,14158,7124,758,2025-12-16,51.1,authorization_issue,closed,2025-12-09
242,CB_14461,14461,9771,316,2025-11-04,97.63,duplicate_processing,lost,2025-10-08
243,CB_14509,14509,3932,807,2025-07-08,60.1,authorization_issue,won,2025-06-26
244,CB_14524,14524,5739,831,2025-04-29,16.64,duplicate_processing,closed,2025-05-20
245,CB_14531,14531,5511,1098,2026-03-26,447.13,duplicate_processing,won,2026-04-14
246,CB_14540,14540,1577,870,2025-05-10,36.88,authorization_issue,open,2025-07-28
247,CB_14608,14608,4105,625,2025-12-26,5.31,service_not_received,won,
248,CB_14847,14847,8094,996,2025-05-03,40.47,authorization_issue,won,2025-06-30
249,CB_14915,14915,1365,730,2025-08-07,53.49,fraud,open,
251,CB_15013,15013,7709,886,2025-07-08,62.38,service_not_received,lost,2025-07-21
253,CB_15093,15093,7132,716,2026-02-20,75.3,fraud,open,2026-04-11
254,CB_15152,15152,8595,144,2025-11-12,58.66,authorization_issue,won,2025-11-14
255,CB_15409,15409,589,138,2025-07-12,60.24,authorization_issue,open,
256,CB_15479,15479,7889,714,2025-08-21,94.27,authorization_issue,lost,2025-09-03
257,CB_15494,15494,2643,1182,2025-06-27,90.47,duplicate_processing,lost,2025-06-23
259,CB_15541,15541,7759,599,2025-08-18,57.48,service_not_received,won,2025-10-14
260,CB_15576,15576,5892,411,2025-05-05,13.95,duplicate_processing,won,2025-07-17
261,CB_15712,15712,7389,826,2025-08-04,333.52,service_not_received,closed,
262,CB_15748,15748,704,924,2025-11-12,43.31,service_not_received,won,2025-12-26
263,CB_15887,15887,4128,823,2025-10-12,89.31,fraud,closed,2025-10-06
264,CB_16021,16021,4246,217,2025-10-04,54.86,authorization_issue,lost,
265,CB_16044,16044,9220,541,2025-09-07,43.32,duplicate_processing,lost,2025-09-02
266,CB_16054,16054,2548,132,2025-10-03,67.36,authorization_issue,open,2025-12-09
267,CB_16058,16058,9851,1087,2025-09-09,59.52,fraud,won,
268,CB_16161,16161,3772,1035,2026-02-14,39.86,authorization_issue,won,2026-04-14
269,CB_16173,16173,4141,285,2026-01-25,1816.62,duplicate_processing,lost,2026-01-03
270,CB_16259,16259,478,391,2025-09-20,88.43,fraud,won,2025-11-15
271,CB_16284,16284,4574,1160,2026-01-18,478.79,authorization_issue,won,2026-03-01
272,CB_16303,16303,6732,1178,2025-07-03,97.9,duplicate_processing,closed,2025-08-05
273,CB_16315,16315,326,719,2026-05-06,60.26,service_not_received,won,2026-04-30
274,CB_16353,16353,165,944,2025-06-05,166.29,duplicate_processing,open,2025-08-01
275,CB_16367,16367,2236,526,2026-01-13,20.51,service_not_received,open,
276,CB_16376,16376,5022,1091,2025-08-28,21.15,service_not_received,won,
277,CB_16485,16485,240,920,2025-07-10,25.71,duplicate_processing,lost,
280,CB_16609,16609,4160,530,2025-08-01,54.87,duplicate_processing,lost,2025-06-25
281,CB_16754,16754,8101,669,2025-12-22,3.14,authorization_issue,closed,
282,CB_16823,16823,3343,991,2025-11-21,67.04,authorization_issue,lost,2026-01-04
283,CB_16836,16836,3427,899,2025-06-14,93.5,fraud,lost,2025-07-23
284,CB_16862,16862,3829,561,2025-12-22,30.72,fraud,lost,2025-12-20
285,CB_16868,16868,4871,1167,2025-09-06,8.34,authorization_issue,open,
286,CB_16946,16946,7157,584,2026-02-22,50.12,authorization_issue,closed,2026-05-04
287,CB_17025,17025,821,760,2026-03-14,297.93,fraud,won,2026-04-23
288,CB_17099,17099,5852,695,2025-10-24,221.19,authorization_issue,won,2025-11-06
279,CB_16565,16565,960279,95,2026-01-15,397.86,service_not_received,open,2026-01-06
278,CB_16544,16544,186,518,2026-03-27,448.9,authorization_issue,won,2026-06-06
250,CB_14967,14967,6558,45,2026-02-04,26.02,duplicate_processing ,open,2026-03-09
231,CB_13659,13659,3501,250,2026-04-19,37.06,service_not_received,OPEN,2026-07-11
230,CB_13626,13626,880,1101,2026-03-16,258.71,duplicate_processing,closed,2026-03-07
232,CB_13704,13704,8567,2,2026-02-12,31.93,fraud,lost,2026-02-02
233,CB_13774,13774,5403,325,2025-06-29,324.05,fraud,won,2025-06-11
289,CB_17120,17120,3419,694,2026-02-06,54.23,authorization_issue,won,2026-03-07
291,CB_17184,17184,8302,891,2025-10-13,85.16,authorization_issue,closed,2025-11-17
292,CB_17236,17236,1469,518,2025-08-04,50.01,service_not_received,open,2025-07-06
295,CB_17704,17704,8620,807,2026-02-10,16.56,duplicate_processing,lost,2026-02-14
296,CB_17709,17709,8274,818,2025-06-07,21.3,authorization_issue,open,
297,CB_17752,17752,6640,725,2025-12-28,92.96,service_not_received,lost,
298,CB_17773,17773,2056,1178,2025-10-28,51.86,fraud,lost,2025-11-17
299,CB_17870,17870,9658,990,2025-11-07,241.34,authorization_issue,lost,2025-11-02
300,CB_17890,17890,5245,138,2025-07-09,12.86,authorization_issue,lost,2025-08-03
301,CB_17902,17902,5245,930,2026-02-23,6.48,authorization_issue,lost,2026-04-20
302,CB_18006,18006,487,217,2025-08-22,74.69,duplicate_processing,lost,2025-09-25
304,CB_18014,18014,4115,71,2025-06-10,55.64,authorization_issue,closed,2025-08-11
305,CB_18047,18047,9428,994,2025-06-13,91.03,fraud,lost,
307,CB_18178,18178,7240,541,2025-10-23,30.15,fraud,open,
308,CB_18222,18222,6064,566,2025-07-05,83.22,fraud,open,2025-06-07
309,CB_18225,18225,4130,1000,2026-04-05,124.96,authorization_issue,closed,
310,CB_18322,18322,9689,8,2025-12-06,61.88,authorization_issue,won,2026-01-16
311,CB_18332,18332,3231,220,2026-03-16,8.44,duplicate_processing,lost,2026-04-08
312,CB_18361,18361,390,136,2025-12-13,51.71,service_not_received,closed,
313,CB_18383,18383,7827,1110,2026-02-06,87.64,duplicate_processing,won,2025-12-20
314,CB_18391,18391,6228,11,2026-01-11,1578.36,duplicate_processing,open,2026-02-07
315,CB_18433,18433,3706,991,2026-03-11,24.97,duplicate_processing,open,2026-02-21
316,CB_18503,18503,9208,83,2026-02-07,17.7,authorization_issue,closed,2026-02-17
319,CB_18728,18728,8006,161,2025-08-17,331.49,fraud,open,2025-10-19
320,CB_18771,18771,2899,851,2025-09-20,67.58,authorization_issue,lost,2025-09-10
321,CB_18802,18802,4229,177,2025-11-25,67.32,fraud,closed,2026-01-14
322,CB_18887,18887,8923,437,2025-11-08,426.38,authorization_issue,closed,2025-12-20
325,CB_19127,19127,5169,862,2026-05-06,10.26,service_not_received,lost,2026-04-23
326,CB_19222,19222,2564,303,2025-12-15,235.25,authorization_issue,won,2026-01-06
327,CB_19319,19319,940,983,2026-01-15,32.69,service_not_received,lost,2026-01-18
328,CB_19421,19421,4440,146,2025-12-24,421.74,duplicate_processing,closed,2026-02-02
329,CB_19455,19455,511,71,2026-03-18,15.7,duplicate_processing,closed,
331,CB_19481,19481,9444,783,2025-11-20,76.15,fraud,won,
334,CB_19504,19504,2016,1003,2025-05-18,15.93,fraud,won,
336,CB_19610,19610,8530,1165,2025-08-27,54.52,authorization_issue,open,2025-07-30
337,CB_19632,19632,8029,193,2026-02-24,308.49,service_not_received,lost,2026-04-05
338,CB_19664,19664,732,979,2025-10-18,8.91,authorization_issue,won,2025-11-29
342,CB_19864,19864,6525,364,2026-05-28,117.11,service_not_received,lost,
343,CB_19891,19891,3074,549,2026-01-09,89.89,fraud,won,2025-12-22
346,CB_20005,20005,4631,23,2025-10-20,32.82,service_not_received,closed,2025-09-23
347,CB_20025,20025,8667,629,2025-06-14,92.86,fraud,open,2025-06-04
348,CB_20097,20097,3739,988,2025-05-16,76.3,authorization_issue,open,2025-08-06
349,CB_20236,20236,7014,249,2026-04-24,18.94,authorization_issue,won,
350,CB_20249,20249,8027,131,2025-06-06,30.41,fraud,won,
351,CB_20286,20286,4740,864,2025-10-26,63.64,authorization_issue,won,
352,CB_20319,20319,4099,580,2025-06-22,231.97,duplicate_processing,lost,2025-05-08
353,CB_20411,20411,1130,173,2026-01-11,31.09,service_not_received,lost,
354,CB_20439,20439,933,587,2025-07-28,272.41,service_not_received,closed,2025-09-07
355,CB_20545,20545,8353,541,2025-11-26,17.09,authorization_issue,closed,2025-12-01
356,CB_20576,20576,7893,1129,2025-07-09,50.02,duplicate_processing,closed,2025-06-21
330,CB_19476,19476,960330,309,2025-11-05,231.67,duplicate_processing,won,2025-12-21
318,CB_18704,18704,2576,970318,2025-10-23,135.57,fraud,closed,2025-12-12
323,CB_18959,18959,9085,461,2025-06-23,,duplicate_processing,lost,2025-06-30
344,CB_19983,19983,739,374,2025-06-22,46.49,Fraud,open,
341,CB_19812,19812,8888,700,2025-10-02,-8.36,duplicate_processing,won,2025-11-30
333,CB_19495,19495,300,861,2025-06-17,56.6,authorization_issue,won,2025-05-31
293,CB_17387,17387,712,101,2025-06-17,53.0,authorization_issue,open,
303,CB_18010,18010,2179,1194,2025-09-02,404.37,duplicate_processing ,lost,2025-09-29
340,CB_19734,19734,698,378,2026-05-21,59.22,authorization_issue,OPEN,2026-06-18
345,CB_19998,19998,4100,1143,2026-01-01,6.34,fraud,OPEN,2026-02-02
