device_id,device_ref,customer_id,device_type,os_name,app_version,is_emulator,first_seen_at,last_seen_at,country_code,ip_country_code
25,DEV_25,4320,desktop,Windows,v3.8,False,2026-04-10 07:31:40.479076,2026-03-26 07:31:40.479076,IN,IN
26,DEV_26,1240,desktop,Android,v3.9,False,2024-11-12 07:31:40.479076,2026-04-11 07:31:40.479076,GB,IN
27,DEV_27,4753,desktop,Windows,v1.4,False,2024-10-06 07:31:40.479076,2026-03-20 07:31:40.479076,SG,SG
28,DEV_28,9012,tablet,Android,v3.9,False,2025-09-18 07:31:40.479076,2026-03-24 07:31:40.479076,AU,SG
29,DEV_29,302,tablet,Android,v3.5,False,2024-10-04 07:31:40.479076,2026-03-20 07:31:40.479076,US,AU
30,DEV_30,2169,tablet,iOS,v2.5,False,2025-12-09 07:31:40.479076,2026-04-16 07:31:40.479076,IN,US
31,DEV_31,6291,mobile,Android,v5.9,False,2026-03-01 07:31:40.479076,2026-03-24 07:31:40.479076,IN,GB
32,DEV_32,6851,tablet,iOS,v2.4,False,2024-07-11 07:31:40.479076,2026-03-30 07:31:40.479076,GB,US
33,DEV_33,3399,desktop,Android,v3.5,False,2024-08-27 07:31:40.479076,2026-03-25 07:31:40.479076,GB,SG
34,DEV_34,5585,tablet,MacOS,v1.7,False,2025-09-17 07:31:40.479076,2026-04-09 07:31:40.479076,SG,IN
35,DEV_35,8391,desktop,Windows,v1.4,False,2025-11-21 07:31:40.479076,2026-03-26 07:31:40.479076,SG,IN
36,DEV_36,9990,mobile,MacOS,v1.0,False,2025-11-08 07:31:40.479076,2026-03-23 07:31:40.479076,AU,SG
37,DEV_37,3736,tablet,MacOS,v5.0,False,2025-08-28 07:31:40.479076,2026-04-10 07:31:40.479076,GB,AU
38,DEV_38,3594,desktop,iOS,v3.7,False,2025-06-29 07:31:40.479076,2026-04-13 07:31:40.479076,SG,IN
39,DEV_39,2761,tablet,Windows,v2.4,False,2026-01-16 07:31:40.479076,2026-04-01 07:31:40.479076,IN,AU
40,DEV_40,3469,tablet,iOS,v4.3,False,2025-05-29 07:31:40.479076,2026-03-21 07:31:40.479076,AU,US
41,DEV_41,3705,desktop,Windows,v3.4,False,2025-09-18 07:31:40.479076,2026-03-25 07:31:40.479076,IN,AU
42,DEV_42,4365,mobile,iOS,v3.6,False,2025-07-10 07:31:40.479076,2026-03-25 07:31:40.479076,IN,US
43,DEV_43,172,mobile,Android,v1.9,False,2025-11-27 07:31:40.479076,2026-04-01 07:31:40.479076,GB,IN
45,DEV_45,8420,tablet,Android,v4.3,False,2024-09-10 07:31:40.479076,2026-03-20 07:31:40.479076,IN,IN
46,DEV_46,4170,desktop,iOS,v5.7,False,2026-02-05 07:31:40.479076,2026-04-02 07:31:40.479076,AU,IN
47,DEV_47,1529,mobile,MacOS,v5.4,False,2025-11-17 07:31:40.479076,2026-04-14 07:31:40.479076,AU,GB
48,DEV_48,9383,tablet,MacOS,v3.9,False,2025-11-04 07:31:40.479076,2026-04-16 07:31:40.479076,US,US
49,DEV_49,3595,tablet,MacOS,v1.8,False,2025-05-05 07:31:40.479076,2026-03-25 07:31:40.479076,US,AU
51,DEV_51,4569,mobile,MacOS,v4.1,False,2024-07-21 07:31:40.479076,2026-04-05 07:31:40.479076,GB,AU
52,DEV_52,5946,desktop,iOS,v4.4,False,2024-05-03 07:31:40.479076,2026-03-21 07:31:40.479076,AU,IN
53,DEV_53,2785,desktop,MacOS,v4.6,False,2025-04-07 07:31:40.479076,2026-03-21 07:31:40.479076,IN,IN
54,DEV_54,7953,desktop,Android,v5.8,False,2024-12-15 07:31:40.479076,2026-03-26 07:31:40.479076,US,GB
55,DEV_55,7952,desktop,iOS,v3.7,False,2026-03-30 07:31:40.479076,2026-04-12 07:31:40.479076,SG,IN
56,DEV_56,7732,mobile,Windows,v2.4,False,2025-04-20 07:31:40.479076,2026-04-02 07:31:40.479076,IN,US
57,DEV_57,1661,mobile,iOS,v5.7,True,2024-12-08 07:31:40.479076,2026-04-16 07:31:40.479076,US,AU
58,DEV_58,851,mobile,Android,v5.5,False,2025-01-05 07:31:40.479076,2026-03-19 07:31:40.479076,US,US
59,DEV_59,2364,tablet,MacOS,v5.7,False,2024-06-15 07:31:40.479076,2026-04-10 07:31:40.479076,SG,SG
60,DEV_60,5675,mobile,Windows,v3.3,False,2025-04-11 07:31:40.479076,2026-04-05 07:31:40.479076,US,GB
61,DEV_61,827,tablet,Windows,v2.2,False,2024-07-14 07:31:40.479076,2026-04-12 07:31:40.479076,US,GB
62,DEV_62,9575,mobile,Android,v1.3,False,2025-01-11 07:31:40.479076,2026-03-30 07:31:40.479076,SG,SG
63,DEV_63,2066,mobile,Android,v3.2,False,2024-12-12 07:31:40.479076,2026-04-01 07:31:40.479076,AU,AU
64,DEV_64,1019,mobile,Windows,v2.1,False,2025-09-30 07:31:40.479076,2026-04-07 07:31:40.479076,IN,US
65,DEV_65,4169,mobile,Windows,v1.9,False,2024-10-29 07:31:40.479076,2026-03-18 07:31:40.479076,IN,GB
66,DEV_66,4960,desktop,iOS,v3.0,True,2024-10-09 07:31:40.479076,2026-03-23 07:31:40.479076,AU,GB
67,DEV_67,21,mobile,MacOS,v1.2,False,2025-03-06 07:31:40.479076,2026-03-24 07:31:40.479076,US,US
68,DEV_68,8300,desktop,Android,v2.9,False,2025-01-02 07:31:40.479076,2026-04-04 07:31:40.479076,GB,GB
69,DEV_69,3217,tablet,Windows,v3.5,False,2025-12-20 07:31:40.479076,2026-04-10 07:31:40.479076,US,US
70,DEV_70,6828,mobile,MacOS,v1.5,False,2024-06-16 07:31:40.479076,2026-04-16 07:31:40.479076,GB,IN
71,DEV_71,5574,desktop,MacOS,v3.0,False,2024-12-20 07:31:40.479076,2026-04-02 07:31:40.479076,US,SG
72,DEV_72,8913,tablet,MacOS,v5.0,False,2025-09-10 07:31:40.479076,2026-04-14 07:31:40.479076,US,US
73,DEV_73,699,desktop,iOS,v5.3,False,2024-12-28 07:31:40.479076,2026-03-30 07:31:40.479076,IN,SG
74,DEV_74,7923,desktop,iOS,v4.7,False,2024-07-22 07:31:40.479076,2026-03-28 07:31:40.479076,GB,IN
75,DEV_75,4995,tablet,MacOS,v1.5,False,2024-05-24 07:31:40.479076,2026-04-16 07:31:40.479076,US,IN
76,DEV_76,2601,tablet,Android,v5.1,True,2025-11-10 07:31:40.479076,2026-04-16 07:31:40.479076,GB,US
77,DEV_77,5238,desktop,iOS,v5.5,False,2025-11-08 07:31:40.479076,2026-03-28 07:31:40.479076,AU,US
78,DEV_78,6679,tablet,Android,v2.2,False,2025-01-06 07:31:40.479076,2026-04-09 07:31:40.479076,GB,US
79,DEV_79,1006,tablet,MacOS,v1.2,False,2025-12-28 07:31:40.479076,2026-04-04 07:31:40.479076,US,US
80,DEV_80,7796,mobile,Android,v2.6,False,2025-08-23 07:31:40.479076,2026-03-20 07:31:40.479076,SG,SG
81,DEV_81,3380,mobile,Android,v4.6,False,2024-10-09 07:31:40.479076,2026-04-15 07:31:40.479076,US,AU
50,DEV_50,1,desktop,ANDROID,v5.0,False,2025-03-12 07:31:40.479076,2026-03-28 07:31:40.479076,GB,SG
21,DEV_21,3765,mobile,Windows,v5.0,False,2024-09-16 07:31:40.479076,2026-04-05 07:31:40.479076,GB,sg 
82,DEV_82,8270,desktop,Windows,v1.2,False,2026-01-30 07:31:40.479076,2026-04-07 07:31:40.479076,IN,AU
83,DEV_83,5306,tablet,Android,v2.4,False,2025-12-31 07:31:40.479076,2026-03-27 07:31:40.479076,IN,GB
84,DEV_84,7182,mobile,Windows,v3.5,False,2025-05-23 07:31:40.479076,2026-04-11 07:31:40.479076,AU,US
85,DEV_85,7158,mobile,Windows,v4.6,False,2025-06-27 07:31:40.479076,2026-04-10 07:31:40.479076,AU,AU
86,DEV_86,4835,tablet,Android,v1.3,False,2025-01-15 07:31:40.479076,2026-04-11 07:31:40.479076,IN,US
87,DEV_87,8620,desktop,iOS,v2.3,False,2024-11-04 07:31:40.479076,2026-03-24 07:31:40.479076,GB,AU
88,DEV_88,6138,mobile,MacOS,v5.9,False,2026-03-15 07:31:40.479076,2026-03-20 07:31:40.479076,GB,GB
89,DEV_89,4459,mobile,Windows,v5.7,False,2025-02-27 07:31:40.479076,2026-03-30 07:31:40.479076,GB,SG
90,DEV_90,4740,tablet,Windows,v5.5,False,2026-03-14 07:31:40.479076,2026-04-07 07:31:40.479076,AU,GB
91,DEV_91,5632,tablet,Android,v2.3,False,2025-03-15 07:31:40.479076,2026-03-18 07:31:40.479076,IN,IN
92,DEV_92,9092,tablet,iOS,v5.7,False,2024-11-10 07:31:40.479076,2026-03-22 07:31:40.479076,IN,IN
93,DEV_93,2598,desktop,MacOS,v2.2,False,2025-10-30 07:31:40.479076,2026-04-05 07:31:40.479076,SG,GB
94,DEV_94,8882,mobile,Android,v5.4,False,2024-05-16 07:31:40.479076,2026-04-16 07:31:40.479076,IN,AU
95,DEV_95,5457,desktop,Windows,v4.9,False,2025-04-06 07:31:40.479076,2026-04-04 07:31:40.479076,AU,GB
96,DEV_96,7564,desktop,Android,v2.7,False,2025-12-16 07:31:40.479076,2026-04-05 07:31:40.479076,SG,US
97,DEV_97,2422,mobile,iOS,v1.2,False,2024-06-26 07:31:40.479076,2026-03-20 07:31:40.479076,US,IN
98,DEV_98,3056,mobile,Windows,v4.3,False,2025-09-05 07:31:40.479076,2026-04-04 07:31:40.479076,AU,GB
100,DEV_100,1425,desktop,iOS,v3.3,True,2025-09-22 07:31:40.479076,2026-04-03 07:31:40.479076,IN,US
101,DEV_101,77,mobile,Android,v2.6,False,2025-11-12 07:31:40.479076,2026-04-10 07:31:40.479076,SG,IN
102,DEV_102,6094,desktop,iOS,v4.1,False,2025-07-13 07:31:40.479076,2026-04-07 07:31:40.479076,IN,GB
103,DEV_103,4224,mobile,Android,v2.3,False,2024-12-18 07:31:40.479076,2026-04-07 07:31:40.479076,IN,GB
104,DEV_104,1621,tablet,MacOS,v1.4,False,2026-02-11 07:31:40.479076,2026-03-21 07:31:40.479076,AU,IN
105,DEV_105,4276,desktop,MacOS,v2.5,False,2024-08-29 07:31:40.479076,2026-04-04 07:31:40.479076,AU,AU
106,DEV_106,3977,tablet,Android,v1.8,False,2024-10-27 07:31:40.479076,2026-03-27 07:31:40.479076,IN,IN
107,DEV_107,9634,desktop,MacOS,v3.8,False,2025-06-07 07:31:40.479076,2026-04-16 07:31:40.479076,US,IN
109,DEV_109,9659,mobile,Windows,v4.3,False,2024-11-30 07:31:40.479076,2026-03-18 07:31:40.479076,AU,GB
111,DEV_111,20,mobile,Android,v3.7,False,2026-01-18 07:31:40.479076,2026-04-16 07:31:40.479076,AU,SG
112,DEV_112,2852,mobile,Android,v3.6,False,2024-06-14 07:31:40.479076,2026-04-02 07:31:40.479076,IN,GB
114,DEV_114,638,tablet,MacOS,v4.7,False,2025-12-16 07:31:40.479076,2026-04-10 07:31:40.479076,AU,US
115,DEV_115,9262,tablet,Android,v5.6,False,2025-04-23 07:31:40.479076,2026-04-01 07:31:40.479076,GB,GB
116,DEV_116,4851,mobile,Android,v4.0,False,2025-03-24 07:31:40.479076,2026-04-06 07:31:40.479076,GB,SG
117,DEV_117,7647,desktop,Android,v3.4,True,2025-03-03 07:31:40.479076,2026-04-11 07:31:40.479076,IN,US
118,DEV_118,563,desktop,MacOS,v2.6,False,2025-07-25 07:31:40.479076,2026-04-08 07:31:40.479076,US,IN
119,DEV_119,4700,mobile,MacOS,v2.7,False,2024-10-09 07:31:40.479076,2026-03-27 07:31:40.479076,GB,IN
120,DEV_120,5132,mobile,Android,v1.2,False,2024-08-06 07:31:40.479076,2026-04-14 07:31:40.479076,SG,GB
121,DEV_121,7150,mobile,iOS,v3.1,False,2024-12-31 07:31:40.479076,2026-04-12 07:31:40.479076,US,AU
122,DEV_122,458,desktop,MacOS,v3.1,False,2025-02-12 07:31:40.479076,2026-04-06 07:31:40.479076,US,AU
123,DEV_123,2174,desktop,Android,v4.0,False,2025-03-01 07:31:40.479076,2026-03-31 07:31:40.479076,AU,US
124,DEV_124,7547,mobile,MacOS,v1.9,False,2024-04-21 07:31:40.479076,2026-03-26 07:31:40.479076,US,AU
125,DEV_125,8037,tablet,Android,v1.4,False,2025-03-23 07:31:40.479076,2026-03-24 07:31:40.479076,SG,AU
126,DEV_126,2891,desktop,MacOS,v1.4,False,2024-10-14 07:31:40.479076,2026-03-20 07:31:40.479076,US,AU
129,DEV_129,8730,mobile,Android,v4.1,False,2024-12-20 07:31:40.479076,2026-04-16 07:31:40.479076,IN,IN
130,DEV_130,7846,mobile,Windows,v4.4,False,2025-06-02 07:31:40.479076,2026-03-28 07:31:40.479076,AU,SG
131,DEV_131,3778,tablet,Android,v3.0,False,2025-05-06 07:31:40.479076,2026-04-01 07:31:40.479076,SG,AU
132,DEV_132,5030,desktop,Android,v4.3,False,2025-07-26 07:31:40.479076,2026-04-01 07:31:40.479076,AU,AU
133,DEV_133,8505,tablet,Android,v4.2,False,2024-07-14 07:31:40.479076,2026-04-02 07:31:40.479076,SG,IN
134,DEV_134,4863,mobile,iOS,v2.9,False,2024-08-29 07:31:40.479076,2026-03-22 07:31:40.479076,SG,GB
135,DEV_135,9236,desktop,Windows,v4.7,False,2025-03-12 07:31:40.479076,2026-03-24 07:31:40.479076,IN,US
136,DEV_136,8819,desktop,Windows,v2.1,False,2024-12-03 07:31:40.479076,2026-04-03 07:31:40.479076,US,SG
138,DEV_138,5661,desktop,iOS,v2.0,False,2025-11-14 07:31:40.479076,2026-03-31 07:31:40.479076,US,US
139,DEV_139,6545,desktop,Windows,v5.2,False,2025-03-11 07:31:40.479076,2026-03-19 07:31:40.479076,AU,SG
140,DEV_140,5977,tablet,Windows,v2.6,False,2024-08-17 07:31:40.479076,2026-04-11 07:31:40.479076,IN,AU
141,DEV_141,1639,desktop,Windows,v1.1,False,2024-09-21 07:31:40.479076,2026-03-20 07:31:40.479076,SG,US
142,DEV_142,8582,tablet,Windows,v5.7,False,2024-09-06 07:31:40.479076,2026-03-28 07:31:40.479076,SG,IN
143,DEV_143,1355,desktop,MacOS,v2.4,False,2024-06-18 07:31:40.479076,2026-03-25 07:31:40.479076,GB,GB
144,DEV_144,5755,tablet,Windows,v1.8,False,2025-01-10 07:31:40.479076,2026-03-29 07:31:40.479076,GB,SG
145,DEV_145,2846,tablet,Android,v1.8,False,2024-04-21 07:31:40.479076,2026-04-09 07:31:40.479076,GB,SG
146,DEV_146,5931,tablet,iOS,v3.8,False,2026-03-03 07:31:40.479076,2026-04-08 07:31:40.479076,SG,GB
147,DEV_147,2102,mobile,iOS,v2.1,False,2025-01-26 07:31:40.479076,2026-04-13 07:31:40.479076,AU,GB
149,DEV_149,7665,desktop,iOS,v1.8,False,2024-08-18 07:31:40.479076,2026-03-28 07:31:40.479076,US,GB
153,DEV_153,7740,mobile,MacOS,v5.8,False,2024-09-19 07:31:40.479076,2026-04-09 07:31:40.479076,AU,IN
154,DEV_154,6196,desktop,iOS,v2.7,False,2025-11-12 07:31:40.479076,2026-03-30 07:31:40.479076,IN,IN
155,DEV_155,2108,tablet,iOS,v3.2,False,2024-05-16 07:31:40.479076,2026-03-28 07:31:40.479076,AU,AU
156,DEV_156,6714,mobile,Windows,v3.1,False,2025-03-17 07:31:40.479076,2026-04-15 07:31:40.479076,GB,IN
157,DEV_157,3807,mobile,Windows,v4.1,False,2025-04-06 07:31:40.479076,2026-03-20 07:31:40.479076,AU,AU
158,DEV_158,5230,mobile,iOS,v3.0,False,2025-09-02 07:31:40.479076,2026-03-27 07:31:40.479076,GB,GB
159,DEV_159,1829,tablet,Windows,v5.5,False,2025-01-22 07:31:40.479076,2026-03-22 07:31:40.479076,AU,US
160,DEV_160,5004,mobile,Android,v2.4,False,2024-10-16 07:31:40.479076,2026-03-31 07:31:40.479076,GB,IN
161,DEV_161,6661,tablet,iOS,v4.6,False,2025-01-01 07:31:40.479076,2026-04-14 07:31:40.479076,AU,US
162,DEV_162,7385,desktop,iOS,v2.9,False,2024-06-19 07:31:40.479076,2026-03-25 07:31:40.479076,GB,AU
127,DEV_127,1425,tablet,windows ,v2.0,False,2026-03-11 07:31:40.479076,2026-04-17 07:31:40.479076,US,IN
152,DEV_152,327,mobile,windows ,v5.5,False,2026-02-23 07:31:40.479076,2026-04-15 07:31:40.479076,IN,IN
137,DEV_137,7502,desktop,Android,,True,2026-01-21 07:31:40.479076,2026-04-09 07:31:40.479076,IN,GB
148,DEV_148,1535,tablet,MacOS,,False,2025-06-02 07:31:40.479076,2026-04-13 07:31:40.479076,GB,IN
108,DEV_108,1000107,desktop,MacOS,v4.4,False,2024-09-23 07:31:40.479076,2026-04-02 07:31:40.479076,SG,IN
128,DEV_128,1000127,desktop,iOS,v5.1,False,2024-08-09 07:31:40.479076,2026-03-28 07:31:40.479076,SG,US
110,DEV_110,8281,desktop,Windows,v5.4,False,2025-11-21 07:31:40.479076,2026-04-08 07:31:40.479076,au,AU
99,DEV_99,3436,mobile,iOS,v1.9,False,2025-08-09 07:31:40.479076,2026-03-20 07:31:40.479076,SG,sg 
163,DEV_163,8445,desktop,Windows,v3.7,False,2024-10-04 07:31:40.479076,2026-04-08 07:31:40.479076,IN,US
164,DEV_164,4809,mobile,Android,v2.4,False,2026-02-23 07:31:40.479076,2026-04-02 07:31:40.479076,US,US
165,DEV_165,2098,tablet,MacOS,v1.0,False,2024-12-23 07:31:40.479076,2026-03-29 07:31:40.479076,IN,AU
166,DEV_166,9835,tablet,Android,v3.4,False,2025-01-10 07:31:40.479076,2026-03-30 07:31:40.479076,SG,AU
167,DEV_167,4129,mobile,iOS,v5.7,False,2025-03-14 07:31:40.479076,2026-03-21 07:31:40.479076,SG,GB
168,DEV_168,1940,tablet,Windows,v1.1,False,2024-08-09 07:31:40.479076,2026-04-01 07:31:40.479076,IN,GB
169,DEV_169,9645,desktop,iOS,v5.7,False,2025-07-10 07:31:40.479076,2026-04-10 07:31:40.479076,US,IN
170,DEV_170,9765,tablet,iOS,v2.9,False,2024-07-17 07:31:40.479076,2026-03-30 07:31:40.479076,IN,AU
171,DEV_171,2719,tablet,MacOS,v4.5,False,2025-09-09 07:31:40.479076,2026-04-09 07:31:40.479076,GB,GB
172,DEV_172,435,mobile,iOS,v3.8,False,2025-04-07 07:31:40.479076,2026-04-13 07:31:40.479076,US,US
173,DEV_173,9516,tablet,MacOS,v4.1,False,2026-01-11 07:31:40.479076,2026-04-09 07:31:40.479076,AU,SG
174,DEV_174,336,mobile,Windows,v1.8,False,2025-02-26 07:31:40.479076,2026-04-16 07:31:40.479076,AU,US
175,DEV_175,4089,tablet,Windows,v4.0,False,2025-04-03 07:31:40.479076,2026-03-31 07:31:40.479076,US,SG
176,DEV_176,5880,mobile,iOS,v3.2,False,2025-02-10 07:31:40.479076,2026-04-11 07:31:40.479076,AU,GB
177,DEV_177,6030,mobile,Android,v5.0,False,2025-06-30 07:31:40.479076,2026-04-05 07:31:40.479076,IN,IN
178,DEV_178,9523,mobile,iOS,v3.5,False,2024-06-09 07:31:40.479076,2026-03-19 07:31:40.479076,SG,SG
179,DEV_179,9349,mobile,MacOS,v5.9,False,2025-08-02 07:31:40.479076,2026-04-01 07:31:40.479076,IN,US
180,DEV_180,8375,tablet,Android,v5.3,False,2024-11-04 07:31:40.479076,2026-04-05 07:31:40.479076,IN,SG
181,DEV_181,7770,desktop,MacOS,v4.8,False,2026-03-26 07:31:40.479076,2026-04-02 07:31:40.479076,SG,GB
182,DEV_182,7508,tablet,iOS,v2.1,False,2024-08-17 07:31:40.479076,2026-04-13 07:31:40.479076,US,AU
183,DEV_183,3327,mobile,Windows,v3.0,False,2025-07-05 07:31:40.479076,2026-04-15 07:31:40.479076,US,AU
184,DEV_184,118,tablet,iOS,v2.5,False,2024-10-01 07:31:40.479076,2026-03-27 07:31:40.479076,IN,SG
185,DEV_185,1066,tablet,Windows,v4.8,False,2025-07-05 07:31:40.479076,2026-03-28 07:31:40.479076,GB,GB
186,DEV_186,8132,desktop,Windows,v5.3,False,2024-11-06 07:31:40.479076,2026-04-09 07:31:40.479076,US,US
187,DEV_187,5136,mobile,Windows,v4.2,False,2024-05-12 07:31:40.479076,2026-03-30 07:31:40.479076,GB,AU
188,DEV_188,1323,mobile,iOS,v1.5,False,2025-08-26 07:31:40.479076,2026-04-15 07:31:40.479076,IN,AU
189,DEV_189,8309,mobile,iOS,v1.8,False,2024-08-28 07:31:40.479076,2026-04-16 07:31:40.479076,IN,GB
190,DEV_190,775,tablet,iOS,v1.5,False,2025-09-30 07:31:40.479076,2026-04-09 07:31:40.479076,US,SG
192,DEV_192,911,tablet,Android,v4.0,False,2024-12-22 07:31:40.479076,2026-04-03 07:31:40.479076,SG,AU
193,DEV_193,7834,desktop,Android,v1.6,False,2026-02-28 07:31:40.479076,2026-04-06 07:31:40.479076,GB,IN
194,DEV_194,3755,tablet,Windows,v5.4,False,2024-09-11 07:31:40.479076,2026-03-25 07:31:40.479076,US,SG
195,DEV_195,2099,mobile,Windows,v4.9,False,2025-12-13 07:31:40.479076,2026-04-11 07:31:40.479076,GB,AU
196,DEV_196,1428,mobile,Windows,v4.5,False,2025-01-12 07:31:40.479076,2026-03-26 07:31:40.479076,GB,IN
197,DEV_197,3224,mobile,MacOS,v2.9,False,2026-03-26 07:31:40.479076,2026-04-14 07:31:40.479076,GB,US
198,DEV_198,265,desktop,iOS,v2.1,True,2024-08-13 07:31:40.479076,2026-04-08 07:31:40.479076,GB,SG
199,DEV_199,3940,mobile,Windows,v1.2,False,2025-02-13 07:31:40.479076,2026-03-26 07:31:40.479076,AU,US
200,DEV_200,2521,tablet,MacOS,v1.9,False,2025-02-20 07:31:40.479076,2026-03-20 07:31:40.479076,IN,US
201,DEV_201,1648,desktop,Windows,v3.8,False,2025-04-16 07:31:40.479076,2026-04-07 07:31:40.479076,AU,GB
202,DEV_202,3656,mobile,Android,v4.8,True,2026-03-31 07:31:40.479076,2026-03-30 07:31:40.479076,SG,GB
203,DEV_203,4761,tablet,iOS,v5.1,False,2024-04-19 07:31:40.479076,2026-04-02 07:31:40.479076,GB,GB
204,DEV_204,2997,mobile,MacOS,v3.9,False,2026-01-30 07:31:40.479076,2026-04-05 07:31:40.479076,GB,AU
205,DEV_205,4576,mobile,MacOS,v5.8,False,2025-11-20 07:31:40.479076,2026-03-22 07:31:40.479076,AU,GB
206,DEV_206,6643,mobile,iOS,v3.1,False,2024-04-28 07:31:40.479076,2026-04-03 07:31:40.479076,AU,IN
207,DEV_207,233,mobile,MacOS,v3.9,False,2024-08-31 07:31:40.479076,2026-04-12 07:31:40.479076,SG,IN
208,DEV_208,3228,desktop,Android,v5.1,False,2025-05-22 07:31:40.479076,2026-04-05 07:31:40.479076,SG,GB
209,DEV_209,4270,mobile,Android,v3.3,False,2024-04-20 07:31:40.479076,2026-04-05 07:31:40.479076,AU,IN
210,DEV_210,1988,tablet,Android,v1.6,False,2025-04-29 07:31:40.479076,2026-04-11 07:31:40.479076,US,AU
211,DEV_211,755,desktop,MacOS,v4.6,False,2024-11-15 07:31:40.479076,2026-04-12 07:31:40.479076,US,US
212,DEV_212,7995,mobile,Windows,v1.5,False,2025-08-23 07:31:40.479076,2026-04-08 07:31:40.479076,US,AU
213,DEV_213,9149,mobile,Android,v1.2,False,2026-01-01 07:31:40.479076,2026-03-31 07:31:40.479076,US,AU
214,DEV_214,8994,desktop,iOS,v3.2,False,2025-05-15 07:31:40.479076,2026-03-21 07:31:40.479076,GB,SG
215,DEV_215,6533,desktop,Windows,v3.5,False,2026-02-25 07:31:40.479076,2026-04-02 07:31:40.479076,SG,IN
216,DEV_216,3343,tablet,MacOS,v1.6,False,2024-12-21 07:31:40.479076,2026-03-30 07:31:40.479076,US,SG
217,DEV_217,8213,tablet,Android,v5.3,False,2024-12-17 07:31:40.479076,2026-03-31 07:31:40.479076,SG,AU
218,DEV_218,9475,mobile,iOS,v4.1,False,2024-12-02 07:31:40.479076,2026-04-07 07:31:40.479076,GB,IN
219,DEV_219,2237,desktop,iOS,v2.8,False,2025-03-20 07:31:40.479076,2026-04-01 07:31:40.479076,GB,AU
220,DEV_220,3033,desktop,Android,v2.1,False,2024-04-23 07:31:40.479076,2026-03-27 07:31:40.479076,SG,IN
221,DEV_221,7019,tablet,Windows,v1.0,False,2024-10-13 07:31:40.479076,2026-03-21 07:31:40.479076,GB,US
222,DEV_222,5961,mobile,Android,v3.4,True,2026-03-12 07:31:40.479076,2026-04-04 07:31:40.479076,GB,US
223,DEV_223,8061,mobile,Windows,v2.3,False,2025-10-22 07:31:40.479076,2026-04-17 07:31:40.479076,SG,US
